latitude,longitude,id,icao24bit,heading,altitude,groundSpeed,squawk,aircraftCode,registration,time,originAirportIata,destinationAirportIata,number,airlineIata,onGround,verticalSpeed,callsign,airlineIcao
85.116,17.713,37468daf,461F52,174,39000,465,,A359,OH-LWK,1727391920,NRT,HEL,AY74,AY,0,0,FIN74,FIN
83.99,18.813,374653a7,461F57,175,37000,524,,A359,OH-LWP,1727391922,ICN,HEL,AY42,AY,0,0,FIN42,FIN
75.993,-145.766,3746eb5e,86E3EC,45,37000,478,,B789,JA861J,1727391924,HND,LHR,JL41,JL,0,0,JAL41,JAL
82.094,-107.868,374688ea,394A09,103,35000,476,,B77W,F-GSQJ,1727391926,HND,CDG,AF293,AF,0,0,AFR293,AFR
76.816,-97.919,37473bd5,80153F,3,31000,356,,B77L,VT-AEG,1727391926,SFO,DEL,AI174,AI,0,0,AIC174,AIC
80.083,-83.415,37469280,86DA38,96,37000,478,,B789,JA839A,1727391928,HND,VIE,NH205,NH,0,0,ANA205,ANA
80.022,-78.398,37469502,87304A,86,38996,478,,B789,JA928A,1727391926,HND,MUC,NH217,NH,0,0,ANA217,ANA
76.622,22.822,37465687,461F53,174,41000,489,,A359,OH-LWL,1727391930,HND,HEL,AY62,AY,0,0,FIN62,FIN
69.756,-167.601,37471317,461F4F,182,38000,480,,A359,OH-LWH,1727391928,HEL,HND,AY61,AY,0,0,FIN61,FIN
71.288,-156.754,3747e1f2,AB4B8D,11,0,0,,PC24,N827HB,1727391934,BRW,,,,1,0,N827HB,
71.285,-156.537,3747e9fc,A4C8D2,278,1650,138,,B734,N407YK,1727391935,ANC,BRW,NC760,NC,0,-512,NAC760,NAC
70.201,-150.76,3748261f,A0AFCA,293,1000,140,,C208,N143WA,1727391932,SCC,,,,0,0,N143WA,WRF
70.4,-148.681,3747f314,AB2147,176,0,63,,B212,N816SS,1727391935,SCC,,,,1,-64,N816SS,
70.062,-146.244,374827ae,A53C82,100,5675,150,,C208,N4365U,1727391935,SCC,NUI,,,0,0,N4365U,WRF
69.108,-105.088,37482ebf,C04B80,82,900,62,,B429,C-GCPJ,1727391935,YCB,,CTG438,CT,0,0,CTG438,CTG
70.033,-99.002,37474f68,800582,3,31000,552,,B77W,VT-ALS,1727391935,YVR,DEL,AI186,AI,0,0,AIC186,AIC
68.901,-93.726,37481aef,C0681F,94,33025,466,,B732,C-GNLE,1727391935,YCB,YFB,N5251,N5,0,0,NRL251,NRL
68.448,-70.754,3747b507,4CC2A5,259,36000,432,,B752,TF-FIR,1727391935,KEF,SEA,FI683,FI,0,0,ICE11P,ICE
69.193,-68.579,3747ee6d,C06030,359,19000,195,,AT43,C-GKLB,1727391937,YFB,YCY,5T810,5T,0,0,AKT810,AKT
69.701,-60.582,37477f4b,780204,33,31000,524,,B77W,B-KPD,1727391936,JFK,HKG,CX831,CX,0,0,CPA831,CPA
69.089,-43.556,374773b5,8004DD,52,32000,485,,B77W,VT-ALO,1727391938,YYZ,DEL,AI188,AI,0,0,AIC188,AIC
74.751,-21.906,37465576,86EEA0,144,39000,525,,B789,JA891A,1727391939,HND,FRA,NH203,NH,0,0,ANA203,ANA
72.183,-20.584,3746f1d8,847517,135,33000,537,,B748,JA17KZ,1727391939,ANC,AMS,KZ4,KZ,0,0,NCA004,NCA
70.173,-19.131,37473bb0,507C50,63,36975,496,,B788,UK78703,1727391937,JFK,TAS,HY102,HY,0,0,UZB102,UZB
71.069,-12.811,37473459,7608FA,63,34996,483,,B77L,AP-BGZ,1727391939,YYZ,ISB,PK782,PK,0,0,PIA782,PIA
70.329,81.747,3747afcd,151E23,93,33000,452,,B738,RA-73251,1727391941,DME,NSK,Y7105,Y7,0,0,TYA105,TYA
68.453,85.084,3747ce6a,151E29,42,29725,297,,B738,RA-73257,1727391939,SVX,NSK,Y7918,Y7,0,-1664,TYA918,TYA
69.915,85.555,3747a197,151E2B,124,33025,434,,B733,RA-73259,1727391941,DME,NSK,Y7403,Y7,0,0,TYA403,TYA
68.438,99.96,37478402,151E2E,101,37000,452,,B737,RA-73262,1727391941,VKO,YKS,R3474,R3,0,0,SYL474,SYL
72.846,163.563,3747183f,151E3B,86,33000,460,,B77W,RA-73275,1727391943,SVO,DYR,SU6219,SU,0,0,SDM6219,SDM
70.781,165.245,3746ae6c,800462,82,35000,491,,B77W,VT-ALM,1727391943,DEL,SFO,AI183,AI,0,0,AIC183,AIC
68.894,166.655,3746efcb,781FC3,238,32000,480,,B77L,B-223T,1727391943,ORD,PVG,CAO8444,CA,0,0,CAO8444,CAO
63.203,-169.807,3746d941,A31A57,235,35975,486,,B789,N29978,1727391941,EWR,NRT,UA79,UA,0,0,UAL79,UAL
64.43,-165.307,37483487,A41841,122,4425,179,,BE20,N363JH,1727391942,OME,SMK,8E842,8E,0,1728,BRG842,BRG
61.767,-162.767,374805e5,A9DD0B,154,800,90,,C172,N73454,1727391928,BET,,,,0,0,N73454,
61.231,-162.577,374810a9,A9E7E0,136,800,110,,C207,N7373U,1727391941,,,,,0,0,N7373U,
61.764,-161.627,374830bf,A9EC69,89,1500,110,,C207,N7389U,1727391931,MLL,,,,0,0,N7389U,
66.172,-161.455,3748111b,AD3C2F,328,6750,175,,C208,N952BA,1727391942,BKC,,8E594,8E,0,0,BRG594,BRG
64.13,-161.441,37481c32,A80522,123,4725,173,,C208,N616BA,1727391943,OME,,8E701,8E,0,-576,BRG701,BRG
61.704,-160.417,3747e519,A4CF0D,285,20050,304,,C130,N409LC,1727391943,ANC,,L2409,L2,0,0,LYC409,LYC
62.3,-159.57,374819c6,A96F3E,136,11800,162,,C208,N707H,1727391943,HCR,,,,0,0,N707H,
62.319,-159.08,37482de1,A4C3FE,109,7500,170,,C208,N406M,1727391922,ANV,,,,0,64,N406M,
66.589,-154.004,37473573,A65800,250,38000,490,,A359,N508DN,1727391943,DTW,ICN,DL159,DL,0,0,DAL159,DAL
62.553,-155.149,37477876,AE04C0,72,27000,409,,K35R,58-0124,1727391943,EIL,,,,0,192,SHIRK95,RCH
61.247,-158.233,37480f53,A8521F,268,38000,486,,B748,N635UP,1727391943,ANC,TPE,,,0,0,N635UP,
61.389,-158.202,3747f75e,A3F31E,271,12000,170,,PA31,N3536B,1727391945,MRI,MOU,,,0,0,N3536B,
