latitude,longitude,id,icao24bit,heading,altitude,groundSpeed,squawk,aircraftCode,registration,time,originAirportIata,destinationAirportIata,number,airlineIata,onGround,verticalSpeed,callsign,airlineIcao
79.465,-134.09,378c3540,867F8A,44,35000,485,,B77W,JA732J,1728983123,HND,LHR,JL43,JL,0,0,JAL43,JAL
82.131,-131.944,378c3346,3C670A,54,39000,494,,A359,D-AIXJ,1728983123,HND,MUC,LH715,LH,0,0,DLH715,DLH
78.321,-130.043,378c3aee,8695A4,66,35000,477,,B77W,JA797A,1728983123,HND,LHR,NH211,NH,0,0,ANA211,ANA
78.59,-126.729,378c3526,86DA38,69,37000,500,,B789,JA839A,1728983123,HND,CDG,NH215,NH,0,0,ANA215,ANA
80.858,-122.189,378c24d6,3965B3,45,35000,473,,B77W,F-GZNT,1728983123,HND,CDG,AF163,AF,0,0,AFR163,AFR
79.092,-118.943,378c3058,86D9D2,66,39000,502,,B789,JA836A,1728983125,HND,FRA,NH223,NH,0,0,ANA223,ANA
75.889,-86.494,378c0c14,407AF4,77,38992,520,,A35K,G-XWBK,1728983125,HND,LHR,BA8,BA,0,0,BAW8,BAW
82.15,-47.35,378bfffa,86DCE6,94,39000,504,,B788,JA842J,1728983127,HND,HEL,JL47,JL,0,0,JAL47,JAL
77.751,14.584,378ce1e3,48C5EB,348,15325,227,,AT75,SP-SPL,1728983126,TOS,LYR,P8296,P8,0,-1152,SRN296,SRN
78.253,15.349,378d163d,478467,102,900,58,,AS32,LN-OPX,1728983128,LYR,,,,0,-192,HSRSQ1,HMB
76.339,66.224,378c1cae,8964B3,177,34996,484,,A388,A6-EVE,1728983127,LAX,DXB,EK216,EK,0,0,UAE37V,UAE
72.573,-164.298,378c5e11,4B1918,19,33000,482,,B77W,HB-JNC,1728983132,NRT,ZRH,LX161,LX,0,0,SWR161,SWR
71.146,-157.067,378d1edb,ACB0E0,315,75,1,,S92,N917CB,1728983113,,,,,1,-64,N917CB,
75.473,-151.455,378c4791,868056,33,35000,473,,B77W,JA738J,1728983134,HND,CDG,JL45,JL,0,0,JAL45,JAL
75.484,-151.386,378c4d47,86E496,36,37000,494,,B789,JA866J,1728983132,NRT,FRA,JL407,JL,0,0,JAL407,JAL
68.461,-105.006,378cadfc,80153C,31,31000,561,,B77L,VT-AEF,1728983133,SFO,BLR,AI176,AI,0,0,AIC176,AIC
71.093,-40.912,378c6c3c,4B1916,107,35000,496,,B77W,HB-JNA,1728983134,SFO,ZRH,LX39,LX,0,0,SWR39,SWR
71.905,-40.493,378c0cfc,89618E,233,37996,485,,A388,A6-EEO,1728983134,DXB,YYZ,EK241,EK,0,0,UAE30Y,UAE
72.315,-33.826,378c543f,507C50,234,39804,474,,B788,UK78703,1728983136,TAS,JFK,HY101,HY,0,0,UZB101,UZB
72.254,-27.267,378c0acf,800C3E,249,36000,460,,B77W,VT-ALX,1728983134,DEL,,,,0,0,AIC119D,AIC
70.954,-26.088,378ca0db,151E7C,241,32000,514,,B772,RA-73340,1728983136,SVO,CCC,N4551,N4,0,0,NWS551,NWS
74.054,-3.603,378c7ffa,7804C6,57,31000,505,,B77L,B-2071,1728983138,JFK,CAN,CSG2544,CS,0,0,CSG2544,CSG
68.432,16.66,378cd4c2,06A1E7,13,1425,156,,B77L,A7-BFJ,1728983136,LGG,EVE,QR8051,QR,0,-1216,QTR8051,QTR
68.489,16.686,378cf92b,47A185,87,0,12,,B738,LN-ENT,1728983136,OSL,EVE,DY360,DY,1,0,NOZ6CF,NOZ
68.957,17.209,378d13d7,478E3F,234,13600,298,,C68A,LN-EUJ,1728983136,TOS,EVE,,,0,-2432,BNO41S,INR
69.681,18.91,378d26b7,4787AA,284,0,0,,DH8D,LN-WDL,1728983131,TOS,BOO,WF1323,WF,1,0,WIF7WH,WIF
69.681,18.913,378d23fd,478E27,22,0,15,,E290,LN-WEA,1728983138,TOS,BGO,WF623,WF,1,0,WIF7JC,WIF
69.828,22.051,378d1a61,47808F,89,23000,256,,DH8A,LN-WIG,1728983136,TOS,KKN,WF992,WF,0,-64,WIF8BJ,WIF
69.917,22.907,378cc55f,47C1C6,271,24000,253,,BE20,LN-BSJ,1728983137,KKN,TOS,,,0,0,BNOK,INR
70.004,23.235,378cef86,47873F,121,1300,130,,B738,LN-DYM,1728983137,OSL,ALF,DY320,DY,0,-960,NOZ2FH,NOZ
70.678,23.725,378d1205,47808D,42,1250,128,,DH8A,LN-WIE,1728983139,TOS,HFT,WF904,WF,0,-960,WIF45M,WIF
69.768,28.444,378d1d44,47808E,277,10125,201,,DH8A,LN-WIF,1728983138,KKN,TOS,WF995,WF,0,896,WIF5Z,WIF
69.533,29.079,378d20da,47A1EF,233,11800,324,,B738,LN-ENS,1728983136,KKN,OSL,DY311,DY,0,0,NOZ11S,NOZ
70.296,31.574,378ceb2f,151E3B,335,30000,524,,B77W,RA-73275,1728983136,SVO,VRA,SU6927,SU,0,0,SDM6927,SDM
73.256,66.683,378c1e5e,8964B6,177,35000,510,,A388,A6-EVH,1728983138,SFO,DXB,EK226,EK,0,0,UAE41P,UAE
72.023,105.758,378ccedb,151E42,277,34000,463,,B773,RA-73282,1728983140,GDX,SVO,SU6290,SU,0,0,SDM6290,SDM
70.067,174.164,378c1622,8003E2,78,35000,547,,B77W,VT-ALJ,1728983140,DEL,YVR,AI185,AI,0,0,AIC185,AIC
62.214,-171.874,378c79c2,485345,30,37000,473,,B789,PH-BHM,1728983142,KIX,AMS,KL868,KL,0,-64,KLM868,KLM
63.804,-169.491,378c8326,485341,27,36975,452,,B789,PH-BHG,1728983142,NRT,AMS,KL862,KL,0,0,KLM862,KLM
64.932,-168.115,378c7962,3C4B26,34,33000,495,,B748,D-ABYF,1728983142,HND,FRA,LH717,LH,0,64,DLH717,DLH
66.228,-166.986,378c6991,4ACA63,19,37000,487,,A359,SE-RSC,1728983138,HND,CPH,SK984,SK,0,0,SAS984,SAS
61.353,-152.95,378d0e6d,A8180D,259,28750,499,,B748,N620UP,1728983140,ANC,HKG,5X70,5X,0,2496,UPS70,UPS
61.393,-152.221,378d11f6,780AA8,275,21750,441,,B748,B-LJN,1728983140,ANC,HKG,CX3273,CX,0,1472,CPA3273,CPA
61.723,-150.483,378ccf04,A0B75B,167,11575,347,,LJ45,N145XL,1728983142,BRW,ANC,,,0,-2368,N145XL,
61.265,-150.122,378d1da5,A9876E,316,3150,237,,B744,N713CK,1728983140,ANC,EHU,K4868,K4,0,2752,CKS868,CKS
61.243,-149.605,378d1754,A56C24,110,20925,360,,B763,N449AZ,1728983140,ANC,SEA,8C9711,8C,0,3200,ATN9711,
62.922,-135.798,378c8d3e,A51E24,273,36000,467,,B744,N429MC,1728983141,ORD,HKG,5Y8390,5Y,0,0,GTI8390,GTI
61.369,-117.502,378cbcf7,8990E4,298,30000,468,,B77W,B-16722,1728983143,ORD,TPE,BR55,BR,0,0,EVA055,EVA
62.472,-114.439,378d26da,C2B5C1,208,0,0,,C30J,130616,1728983141,YZF,,CFC2563,CF,1,0,CFC2563,CFC
64.706,-108.799,378ca944,71C516,300,33975,476,,B789,HL8516,1728983143,EWR,ICN,YP132,YP,0,-64,APZ132,APZ
66.992,-101.063,378cbaaa,789232,336,34000,499,,A35K,B-LXL,1728983138,YYZ,HKG,CX829,CX,0,0,CPA829,CPA
62.307,-94.864,378c48e3,C0232E,194,24000,238,,AT75,C-FNIJ,1728983143,YRT,,BF503,BF,0,0,BF503,
66.182,-91.905,378cad8e,406D4D,62,39000,540,,B789,G-VSPY,1728983145,SFO,LHR,VS42,VS,0,0,VIR42X,VIR
68.152,-82.973,378c91d9,3C6715,71,41004,529,,A359,D-AIXU,1728983142,SFO,MUC,LH459,LH,0,0,DLH459,DLH
64.071,-68.723,378bba5d,800462,166,9575,357,,B77W,VT-ALM,1728983142,DEL,ORD,AI127,AI,0,-1792,AIC127,AIC
65.245,-68.125,378c7928,48AE06,73,41000,512,,B788,SP-LRG,1728983141,LAX,WAW,LO22,LO,0,-64,LOT2PG,LOT
65.112,-64.482,378c859f,39C48D,86,39000,504,,A359,F-HREN,1728983142,SFO,ORY,BF711,BF,0,0,FBU85A,FBU
