latitude,longitude,id,icao24bit,heading,altitude,groundSpeed,squawk,aircraftCode,registration,time,originAirportIata,destinationAirportIata,number,airlineIata,onGround,verticalSpeed,callsign,airlineIcao
87.697,-155.195,372bf390,461F55,12,39000,513,,A359,OH-LWN,1726779800,HND,HEL,AY62,AY,0,0,FIN62,FIN
76.959,-166.17,372bfbcc,461F53,3,35000,494,,A359,OH-LWL,1726779816,ICN,HEL,AY42,AY,0,0,FIN42,FIN
77.956,-165.863,372c39dd,461F4F,4,39000,514,,A359,OH-LWH,1726779808,NRT,HEL,AY74,AY,0,0,FIN74,FIN
80.14,-164.946,372ca95e,461F54,183,38000,465,,A359,OH-LWM,1726779816,HEL,HND,AY61,AY,0,0,FIN61,FIN
77.498,-156.014,372c3b5d,48AE21,22,37000,510,,B789,SP-LSB,1726779812,NRT,WAW,LO80,LO,0,0,LOT80,LOT
79.437,-114.287,372bff07,86E79A,70,37000,503,,B789,JA872A,1726779812,HND,FRA,NH203,NH,0,0,ANA203,ANA
77.005,-80.116,372cb8bd,845F9F,99,33000,500,,B748,JA11KZ,1726779812,ANC,AMS,KZ4,KZ,0,0,NCA004,NCA
76.696,-69.692,372dc18e,C2B3F5,213,7175,267,,C17,177704,1726779740,,,,,0,0,BXTP10,CFC
76.859,97.006,372cf463,151E40,51,31000,484,,B773,RA-73280,1726779820,SVO,DYR,SU6219,SU,0,0,SDM6219,SDM
79.506,170.835,372c3046,78926A,242,36004,507,,A35K,B-LXQ,1726779820,JFK,HKG,CX841,CX,0,0,CPA841,CPA
71.211,-167.408,372c6291,461F59,182,36000,482,,A359,OH-LWR,1726779824,HEL,NRT,AY73,AY,0,0,FIN73,FIN
75.227,-151.534,372c3f46,86D9D2,34,39000,499,,B789,JA836A,1726779828,HND,MUC,NH217,NH,0,0,ANA217,ANA
74.4,-149.819,372bf3d9,394A15,35,33000,497,,B77W,F-GSQV,1726779824,HND,CDG,AF293,AF,0,0,AFR293,AFR
