latitude,longitude,id,icao24bit,heading,altitude,groundSpeed,squawk,aircraftCode,registration,time,originAirportIata,destinationAirportIata,number,airlineIata,onGround,verticalSpeed,callsign,airlineIcao
89.987,-39.487,364a1519,461F55,354,35996,499,,A359,OH-LWN,1721758998,HEL,NRT,AY73,AY,0,0,FIN73,FIN
82.812,19.595,364a4c4d,461F54,356,36000,506,,A359,OH-LWM,1721759002,HEL,HND,AY61,AY,0,0,FIN61,FIN
89.986,128.132,364a1519,461F55,354,35996,499,,A359,OH-LWN,1721759010,HEL,NRT,AY73,AY,0,0,FIN73,FIN
79.764,-96.111,3649a226,3C5B31,251,38000,490,,A333,D-AFYQ,1721759006,FRA,ANC,4Y622,4Y,0,0,OCN622,OCN
76.802,-86.567,3649eed2,461F48,227,37000,506,,A359,OH-LWA,1721759012,HEL,SEA,AY33,AY,0,0,FIN33,FIN
78.087,-64.839,3649c1dd,3C7A47,272,37000,497,,A339,D-ANRG,1721759014,FRA,ANC,DE2050,DE,0,0,CFG2050,CFG
76.036,-62.266,3649e06c,484369,272,36000,494,,B772,PH-BQB,1721759012,AMS,YVR,KL681,KL,0,0,KLM219,KLM
81.126,-20.83,364a3dc4,86D996,315,35996,525,,B788,JA834J,1721759014,HEL,HND,JL48,JL,0,0,JAL48,JAL
70.567,-159.452,364acd3c,AB4A09,235,7875,150,,C208,N8264,1721759015,BRW,PIZ,8V264,8V,0,0,N8264,WRF
71.202,-157.36,364ae109,AA2E27,358,1850,168,,C208,N755RV,1721759022,ATK,,,,0,64,N755RV,
70.332,-149.578,364aee65,,78,325,119,,C212,,1721759019,,,,,0,1344,C212,
68.83,-148.386,364a70a0,A4CA3D,8,9925,167,,PA31,N4079H,1721759019,FAI,SCC,,,0,0,N4079H,
71.363,-125.387,3649d3df,780DA9,297,32004,418,,B77L,B-2027,1721759014,YYZ,TAO,CZ422,CZ,0,0,CSN422,CSN
68.687,-100.69,364977cd,3C7A41,218,38000,448,,A339,D-ANRA,1721759019,FRA,SEA,DE2032,DE,0,0,CFG2032,CFG
70.603,-94.13,364982c2,3C4AD7,221,36004,487,,B744,D-ABVW,1721759014,FRA,YVR,LH492,LH,0,0,DLH492,DLH
73.993,-85.27,36498357,4B1901,234,38000,480,,A343,HB-JMF,1721759014,ZRH,YVR,WK10,WK,0,0,EDW10K,EDW
69.553,-86.335,3649888e,3C7A45,232,38000,473,,A339,D-ANRE,1721759022,FRA,YEG,DE2468,DE,0,0,CFG2468,CFG
69.541,-83.742,36499fef,484445,234,37996,464,,A332,PH-AOF,1721759018,AMS,YEG,KL675,KL,0,0,KLM281,KLM
71.943,-72.631,364925d6,4BB0E8,242,38000,490,,A359,TC-LGH,1721759018,IST,SFO,TK79,TK,0,0,THY79K,THY
71.022,-43.377,36495980,4BA94C,268,34000,467,,B77W,TC-JJL,1721759022,IST,YVR,TK75,TK,0,0,THY75D,THY
73.787,-49.977,364948e5,4BB14A,260,34000,474,,B77W,TC-LJJ,1721759016,IST,LAX,TK9,TK,0,0,THY9,THY
71.391,-46.761,3649f6e0,A4EE82,270,36000,467,,A339,N417DX,1721759022,AMS,SEA,DL145,DL,0,0,DAL145,DAL
72.686,-44.914,3649afc4,789246,18,35000,501,,A35K,B-LXN,1721759014,JFK,HKG,CX841,CX,0,0,CPA841,CPA
73.115,-42.701,3649ef13,3C670D,276,38000,504,,A359,D-AIXM,1721759022,MUC,SEA,LH488,LH,0,0,DLH488,DLH
69.071,-34.685,364a0b77,A31A57,270,37975,502,,B789,N29978,1721759022,MUC,DEN,UA761,UA,0,0,UAL761,UAL
74.361,-33.618,3649fbaa,3C6712,293,38500,512,,A359,D-AIXR,1721759022,MUC,YVR,LH476,LH,0,0,DLH476,DLH
68.489,16.685,364aed98,4ACA0C,317,0,0,,B738,SE-RPL,1721759019,EVE,PMI,D85641,D8,1,0,NSZ5FQ,NOZ
69.724,19.112,364ae392,478792,263,2400,195,,DH8B,LN-WSB,1721759022,SOJ,TOS,WF967,WF,0,-1280,WIF41E,WIF
70.681,23.677,364aee3d,4780A1,59,0,0,,DH8A,LN-ILS,1721759009,HFT,HAA,WF978,WF,1,0,WIF62M,WIF
70.528,28.734,364ae96f,47A389,258,11500,192,,DH8A,LN-WIW,1721759026,BJF,ALF,WF947,WF,0,1152,WIF947,WIF
69.431,108.704,3649e769,151DB4,89,33000,523,,B77W,RA-73140,1721759018,SVO,PKC,SU1730,SU,0,0,AFL1730,AFL
61.404,-175.732,3649c7dc,461F4F,40,35000,490,,A359,OH-LWH,1721759022,HND,HEL,AY62,AY,0,0,FIN62,FIN
62.192,-172.792,3649af10,394A09,52,33000,471,,B77W,F-GSQJ,1721759029,HND,CDG,AF293,AF,0,0,AFR293,AFR
64.436,-168.932,3649a761,86DA38,34,36975,492,,B789,JA839A,1721759024,HND,FRA,NH203,NH,0,-64,ANA203,ANA
64.389,-166.665,364abe71,A0C202,75,13850,272,,B190,N148SK,1721759018,SVA,GAM,8E850,8E,0,0,BRG850,BRG
61.54,-166.145,364aeafb,A4CEBA,59,350,101,,C208,N409GV,1721759029,HPB,,,,0,832,N409GV,
64.969,-166.085,364aebb5,,157,5400,170,,CNC,,1721759002,TLA,OME,8E870,8E,0,0,BRG870,
61.517,-165.5,364aec95,A9E7E0,124,1000,100,,C207,N7373U,1721759015,VAK,,,,0,0,N7373U,
64.494,-165.266,364aead5,A233D0,65,2850,133,,C208,N241BA,1721759025,OME,,8E930,8E,0,384,BRG930,BRG
62.639,-164.682,364adf78,A4DB69,125,500,100,,PA31,N41189,1721759018,KOT,,,,0,0,N41189,
68.003,-164.432,364ada0a,A16845,146,7900,177,,C208,N190BA,1721758956,LUR,OTZ,8E2681,8E,0,0,BRG2681,BRG
61.436,-164.021,364adc66,AD4304,120,2350,145,,C208,N9536P,1721759029,SCM,,,,0,0,GUN36P,
62.028,-163.215,364aecdf,A431AC,101,1750,114,,BE36,N37CH,1721759028,KSM,,,,0,768,N37CH,
64.241,-163.163,364ad7ae,AA3B92,286,9650,187,,C208,N759BA,1721759029,UNK,OME,8E810,8E,0,-256,BRG810,BRG
66.885,-162.921,364aa781,A6EE47,24,2975,216,,B738,N546AS,1721759027,ANC,OTZ,AS136,AS,0,-1408,ASA136,ASA
61.672,-162.885,364ad161,A2CBAF,150,5350,144,,C208,N28AN,1721759027,MOU,,,,0,0,N28AN,
61.455,-162.671,364ad591,A4C74C,148,1200,160,,C208,N407GV,1721759028,,,,,0,0,N407GV,
61.485,-162.51,364ad5a7,A92E32,155,2400,113,,C207,N6908M,1721759028,,,,,0,64,N6908M,
61.709,-162.052,364ad3a3,A97775,353,1550,143,,C208,N709RA,1721759028,BET,,7S709,7S,0,-192,RYA709,RYA
64.062,-161.868,364ad7c3,A83920,107,29850,409,,E75L,N629QX,1721759029,OME,ANC,AS2002,AS,0,896,QXE2002,ASA
63.484,-161.538,364ae87e,AD3C2F,83,1350,161,,C208,N952BA,1721759029,SMK,WBB,8E440,8E,0,0,BRG440,BRG
62.506,-161.125,364ade57,A97007,5,10425,168,,C208,N707RA,1721759030,RSH,,,,0,0,N707RA,RYA
64.345,-161.073,364a34a6,A6134F,321,4900,133,,C182,N4906N,1721759029,SKK,,,,0,-64,N4906N,
63.865,-161.006,364ae9dc,A4CE2A,238,3450,141,,C408,N409BA,1721759029,UNK,,8E1081,8E,0,1024,BRG1081,BRG
61.537,-160.324,364ae32a,A9A129,261,50,68,,C206,N71991,1721759028,ANI,,,,1,-448,N71991,
63.987,-160.154,364ae0d8,A688F6,72,5725,109,,AS50,N520AH,1721759029,UNK,,,,0,0,N520AH,
63.234,-157.584,3649c8b6,78105E,286,37975,486,,B789,B-1543,1721759028,TIJ,PEK,HU7926,HU,0,0,CHH7926,CHH
62.712,-155.459,364ab290,,308,16800,316,,C441,,1721758782,,,,,0,0,C441,
64.782,-154.91,364acf6b,3F66B0,267,29975,416,,A400,5432,1721759029,EIL,,GAF777,GA,0,0,GAF777,GAF
61.448,-152.755,364adac8,A32F17,273,31550,445,,B733,N304KH,1721759028,ANC,ANI,NC750,NC,0,2240,NAC750,AAH
61.285,-152.296,364acfaf,A80A8F,270,21450,470,,B748,N617UP,1721759028,ANC,ICN,5X64,5X,0,1472,UPS64,UPS
64.8,-152.133,364a80a0,A536C5,271,3200,90,,HUSK,N435MA,1721759026,FAI,,,,0,0,N435MA,
61.881,-151.982,364acd2e,ACE4E6,304,15850,267,,BE10,N93SF,1721759028,ANC,MCG,RVV93,RV,0,128,RVV93,
64.987,-151.767,364ab252,AE04FA,343,30000,251,,BE20,84-0148,1721759027,EDF,,,,0,64,NORTH48,RCH
61.31,-151.445,364a6d9e,ABBA93,265,15175,427,,B748,N855GT,1721759028,ANC,ICN,PO947,PO,0,2112,PAC947,DHK
61.336,-151.119,364ad240,A826E9,263,13150,381,,B748,N624UP,1721759029,ANC,HKG,5X62,5X,0,1152,UPS62,UPS
61.943,-151.072,364ae7b2,A51CD3,144,900,72,,PA12,N4288M,1721759026,SKW,,,,0,192,N4288M,
63.34,-150.579,364ac8f5,AD1CD0,215,23000,273,,PC12,N944JD,1721759027,FAI,ANC,,,0,0,N944JD,
61.278,-150.529,364ae528,A88950,92,625,115,,C207,N6492H,1721759027,,,,,0,128,N6492H,
62.358,-150.434,364ac0ce,ADD0E1,339,6400,91,,GA8,N99GA,1721759028,ANC,,,,0,192,N99GA,
64.849,-150.332,364ad15e,A761C8,90,6350,162,,C208,N575JD,1721759027,,,,,0,0,N575JD,VTS
62.422,-150.271,364aa79b,ACE08C,177,3925,129,,DH3T,N929KT,1721759026,TKA,,,,0,0,N929KT,
61.478,-150.214,364ae7ca,A2FCC7,71,1000,111,,C180,N2919C,1721759027,,,,,0,0,N2919C,
61.433,-150.15,364aeea3,A3D66C,271,700,110,,C182,N3463U,1721759026,EDF,,,,0,0,N3463U,
61.243,-150.078,364ad987,A33964,318,2100,229,,B739,N307AS,1721759028,ANC,SEA,AS238,AS,0,1472,ASA238,ASA
61.31,-150.069,364a69dc,A13DF9,147,700,111,,C206,N1797R,1721759028,ANC,,,,0,-192,N1797R,
61.227,-149.973,364ac98f,A60C9B,148,775,99,,C206,N4891Z,1721759028,,,,,0,-64,N4891Z,
66.346,-149.95,364ac626,AABFB3,184,25000,370,,DH8D,N792CP,1721759017,UUK,ANC,,,0,0,CON152,CON
62.055,-149.858,364add69,,347,1200,110,,R66,,1721759011,,,,,0,0,R66,
63.847,-149.816,364a9120,A3EFAF,233,5100,110,,C182,N3528D,1721759015,FAI,,,,0,64,N3528D,
63.381,-149.805,364a9225,A1534F,24,7700,120,,C185,N185AR,1721759026,MCL,,,,0,0,N185AR,
62.772,-149.751,364acdbb,AA9826,197,21000,252,,SW4,N782C,1721759028,FAI,ANC,TNV132,TN,0,128,TNV132,
63.483,-149.533,364aece0,AD92C4,246,6900,160,,PA31,N974CS,1721759026,,,,,0,192,N974CS,
63.5,-149.5,364aec6e,A4DA49,241,6700,180,,PA31,N41101,1721759011,,,,,0,256,N41101,
63.517,-149.433,364aedc0,A8BE0A,241,6500,170,,PA31,N6620L,1721759026,,,,,0,0,N6620L,
64.812,-148.961,364ae2f9,A16975,272,15300,182,,PC12,N190PE,1721759027,FBK,,,,0,832,N190PE,DOI
64.047,-148.857,364ade27,A24DCD,199,19650,222,,B190,N248AX,1721759027,FAI,ANC,KO711,KO,0,1344,AER711,AER
66.251,-148.8,364a9cd7,AC383B,5,24000,220,,DH8A,N887EA,1721759017,ANC,SCC,7H8133,7H,0,0,RVF8133,RVF
65.634,-148.631,364ab1b0,A214ED,31,5600,150,,C208,N233PC,1721759017,FAI,RBY,,,0,0,N233PC,
68.224,-148.456,364acc52,A81DBC,358,38000,420,,B737,N622AS,1721759027,FAI,SCC,AS55,AS,0,64,ASA55,ASA
64.37,-148.3,364accee,3F59F3,15,31000,453,,A21N,1511,1721759027,EDF,KEF,GAF762,GA,0,-64,GAF762,GAF
