latitude,longitude,id,icao24bit,heading,altitude,groundSpeed,squawk,aircraftCode,registration,time,originAirportIata,destinationAirportIata,number,airlineIata,onGround,verticalSpeed,callsign,airlineIcao
77.037,-18.997,37bd9d07,800584,261,34000,470,,B77W,VT-ALU,1730095513,DEL,ORD,AI127,AI,0,0,AIC127,AIC
76.771,11.226,37bdcf7e,89644F,312,32000,503,,B77W,A6-EPZ,1730095512,DXB,DFW,EK221,EK,0,0,UAE221,UAE
68.983,-160.68,37be01d8,3949E4,28,35000,500,,B772,F-GSPE,1730095519,HND,CDG,AF281,AF,0,-64,AFR281,AFR
75.015,-152.692,37bdeb86,867FAC,28,35000,456,,B77W,JA733J,1730095498,HND,CDG,JL45,JL,0,0,JAL45,JAL
72.017,-147.227,37be02b5,7805DD,280,30000,452,,B77L,B-2077,1730095521,ORD,PVG,CK226,CK,0,0,CKK226,CKK
69.669,-125.516,37bdf2e4,781EBB,290,30000,454,,B77L,B-222V,1730095522,JFK,PVG,CK232,CK,0,0,CKK232,CKK
71.028,-61.201,37be2435,4072EA,93,38975,511,,B789,G-VWOO,1730095519,SEA,LHR,VS106,VS,0,-64,VIR106F,VIR
69.444,-33.552,37be202b,C085D5,107,36996,520,,B789,C-GYRS,1730095524,YYC,FCO,WS32,WS,0,0,WJA32,WJA
73.336,-31.298,37bdd10c,738103,279,35996,461,,B788,4X-ERD,1730095522,TLV,LAX,LY5,LY,0,0,ELY005,ELY
71.292,-29.725,37be03ff,06A071,107,33000,506,,B77W,A7-BAG,1730095522,SEA,DOH,QR720,QR,0,0,QTR29N,QTR
72.821,-28.152,37bd81c2,8004DA,243,34000,446,,B77L,VT-ALF,1730095522,DEL,EWR,AI105,AI,0,0,AIC105,AIC
68.521,-26.19,37bdf695,3C6564,110,39000,526,,A333,D-AIKD,1730095522,YYC,FRA,4Y77,4Y,0,0,OCN77,OCN
70.651,-24.09,37bdfc9c,89644C,113,33004,511,,B77W,A6-EPW,1730095522,SEA,DXB,EK230,EK,0,0,UAE93Q,UAE
72.653,-12.08,37bd7ff0,8015A7,258,34000,454,,B77W,VT-AER,1730095522,BOM,JFK,AI119,AI,0,0,AIC119,AIC
75.046,-0.899,37bdaa4e,8003E2,281,34000,482,,B77W,VT-ALJ,1730095524,DEL,JFK,AI101,AI,0,0,AIC101,AIC
74.964,9.293,37bdaacf,800582,298,33000,490,,B77W,VT-ALS,1730095524,DEL,YYZ,AI187,AI,0,0,AIC187,AIC
73.043,9.668,37bdd2e3,896174,293,34000,362,,B77L,A6-EWB,1730095524,DXB,YUL,EK243,EK,0,0,UAE243,UAE
73.698,11.994,37bdd748,8964B7,299,34000,496,,A388,A6-EVI,1730095522,DXB,JFK,EK203,EK,0,0,UAE8ER,UAE
