latitude,longitude,id,icao24bit,heading,altitude,groundSpeed,squawk,aircraftCode,registration,time,originAirportIata,destinationAirportIata,number,airlineIata,onGround,verticalSpeed,callsign,airlineIcao
84.077,-104.496,384211e3,06A2B3,202,34000,477,,B77W,A7-BEO,1733583836,DOH,SEA,QR719,QR,0,0,QTR58V,QTR
86.187,-85.59,38421050,896472,230,38000,497,,A388,A6-EUH,1733583836,DXB,SFO,EK225,EK,0,0,UAE51N,UAE
84.063,-59.185,38420d82,8964B2,233,32000,452,,A388,A6-EVD,1733583833,DXB,LAX,EK215,EK,0,0,UAE83M,UAE
83.693,4.68,38421a3b,8964A6,303,34000,410,,B77W,A6-EQN,1733583839,DXB,ORD,EK235,EK,0,0,UAE3U,UAE
84.656,15.597,384229d9,89644D,324,30000,476,,B77W,A6-EPX,1733583836,DXB,SEA,EK229,EK,0,0,UAE229,UAE
77.802,-108.294,38420137,06A128,194,35996,495,,A35K,A7-ANL,1733583845,DOH,LAX,QR739,QR,0,0,QTR8J,QTR
81.788,-101.844,38420b5c,06A126,197,36000,491,,A35K,A7-ANJ,1733583845,DOH,SFO,QR737,QR,0,0,QTR34X,QTR
77.173,-86.783,38429f91,A5417E,93,35000,486,,B744,N438GT,1733583842,ANC,RZE,5Y369,5Y,0,0,CMB369,GTI
76.048,-66.279,38420650,06A12D,233,38000,464,,A35K,A7-ANQ,1733583847,DOH,DFW,QR729,QR,0,0,QTR52Q,QTR
76.712,-65.507,38426b67,3C64EF,254,37000,437,,A343,D-AIGO,1733583847,FRA,SEA,LH490,LH,0,0,DLH490,DLH
77.083,-59.16,38428339,461F4B,246,39004,445,,A359,OH-LWD,1733583845,HEL,DFW,AY19,AY,0,0,FIN19,FIN
77.058,-59.476,38420ecf,06A12E,255,36000,442,,A35K,A7-ANR,1733583845,DOH,IAH,QR713,QR,0,0,QTR27K,QTR
77.588,-53.991,38420f5d,3965B1,109,35000,466,,B77W,F-GZNR,1733583845,HND,CDG,AF163,AF,0,0,AFR163,AFR
75.635,-36.172,38428581,3C64F8,293,32000,452,,A343,D-AIGX,1733583847,FRA,YVR,LH492,LH,0,0,DLH492,DLH
80.715,-20.6,38421ee9,89655B,285,37996,463,,A388,A6-EVO,1733583845,DXB,IAH,EK211,EK,0,0,UAE1Y,UAE
69.086,-150.016,38430a86,A6B173,167,26950,268,,BE20,N530LM,1733583857,NUI,,,,0,0,N530LM,
