latitude,longitude,id,icao24bit,heading,altitude,groundSpeed,squawk,aircraftCode,registration,time,originAirportIata,destinationAirportIata,number,airlineIata,onGround,verticalSpeed,callsign,airlineIcao
85.97,-88.234,386de94d,8964B6,229,34000,459,,A388,A6-EVH,1734789938,DXB,LAX,EK215,EK,0,0,UAE83M,UAE
86.718,-71.404,386df91f,06A1BC,245,32000,459,,B77W,A7-BEF,1734789935,DOH,SEA,QR719,QR,0,0,QTR58V,QTR
86.967,-63.535,386df221,8964B7,260,36000,459,,A388,A6-EVI,1734789935,DXB,SFO,EK225,EK,0,0,UAE51N,UAE
84.557,-48.99,386db6bb,3C4B26,119,31000,464,,B748,D-ABYF,1734789935,HND,FRA,LH717,LH,0,0,DLH717,DLH
79.595,-69.484,386df103,06A123,226,38000,481,,A35K,A7-ANG,1734789945,DOH,LAX,QR739,QR,0,0,QTR8J,QTR
82.027,-46.842,386df8d7,06A129,268,36000,467,,A35K,A7-ANM,1734789943,DOH,SFO,QR737,QR,0,0,QTR34X,QTR
77.922,-44.15,386df8b5,06A127,262,38000,461,,A35K,A7-ANK,1734789943,DOH,IAH,QR713,QR,0,0,QTR27K,QTR
81.777,-37.54,386de2df,4841AD,122,34996,473,,B772,PH-BQN,1734789943,NRT,AMS,KL862,KL,0,0,KLM862,KLM
78.662,-29.807,386dd250,485789,125,37000,473,,B789,PH-BHO,1734789943,KIX,AMS,KL868,KL,0,0,KLM868,KLM
81.218,10.663,386e0b0c,8964A2,303,34000,443,,B77W,A6-EQJ,1734789949,DXB,ORD,EK235,EK,0,0,UAE3U,UAE
82.578,15.99,386e08f0,896480,315,30000,450,,A388,A6-EUV,1734789945,DXB,IAH,EK211,EK,0,0,UAE1Y,UAE
82.03,19.811,386e1741,89611F,318,33000,452,,B77W,A6-ECX,1734789948,DXB,SEA,EK229,EK,0,0,UAE229,UAE
79.794,41.637,386e1a57,780AAC,96,36996,499,,A359,B-LRI,1734789926,JFK,HKG,CX843,CX,0,0,CPA843,CPA
79.633,91.669,386e13ad,758525,92,37000,503,,A359,RP-C3501,1734789950,YYZ,MNL,PR119,PR,0,0,PAL119,PAL
69.493,-86.12,386e3ff3,A59601,231,37996,468,,B788,N45905,1734789953,CDG,SFO,UA984,UA,0,0,UAL984,UAL
72.901,-71.33,386e515d,484370,255,34000,480,,B772,PH-BQI,1734789953,AMS,SFO,KL605,KL,0,0,KLM132,KLM
70.992,-56.86,386e5cd0,408092,271,37975,469,,B78X,G-ZBLH,1734789954,LHR,SEA,BA53,BA,0,-64,BAW5EA,BAW
73.276,-56.056,386ee262,45A2B3,348,2250,129,,EC55,OY-HUS,1734789907,JUV,,,,0,0,OYHUS,
72.916,-53.918,386e5dd8,39CF11,275,39000,472,,A359,F-HTYR,1734789953,CDG,SEA,AF368,AF,0,64,AFR368,AFR
