latitude,longitude,id,icao24bit,heading,altitude,groundSpeed,squawk,aircraftCode,registration,time,originAirportIata,destinationAirportIata,number,airlineIata,onGround,verticalSpeed,callsign,airlineIcao
85.067,-26.702,3785b05f,896472,273,35996,486,,A388,A6-EUH,1728828256,DXB,SFO,EK225,EK,0,0,UAE51N,UAE
82.788,-56.655,37858338,3C4B21,118,33000,506,,B748,D-ABYA,1728828268,HND,FRA,LH717,LH,0,0,DLH717,DLH
77.206,-10.932,3785bd32,896451,269,32000,498,,B77W,A6-EQB,1728828268,DXB,SEA,EK229,EK,0,0,UAE229,UAE
77.423,-4.748,3785beee,896481,293,35996,496,,A388,A6-EUW,1728828268,DXB,IAH,EK211,EK,0,0,UAE1Y,UAE
82.742,14.68,3785ba3f,896523,313,36000,515,,A388,A6-EVM,1728828268,DXB,LAX,EK215,EK,0,0,UAE83M,UAE
71.88,-74.601,3785f01b,3C6565,245,38000,479,,A333,D-AIKE,1728828275,FRA,YYC,4Y192,4Y,0,0,OCN192,OCN
71.056,-65.046,37860435,3949E6,253,37000,475,,B772,F-GSPG,1728828277,CDG,YVR,AF374,AF,0,0,AFR374G,AFR
68.465,-68.793,37868de3,C06030,359,18825,206,,AT43,C-GKLB,1728828275,YFB,YCY,5T816,5T,0,0,AKT0816,AKT
74.212,-62.37,3785891a,406F78,106,39000,497,,B789,G-ZBKL,1728828273,HND,LHR,BA6,BA,0,0,BAW6,BAW
73.093,-57.886,3785fe6a,440081,262,36000,496,,B772,OE-LPD,1728828274,VIE,LAX,OS81,OS,0,0,AUA81,AUA
71.066,-41.186,37862fb0,4ACA66,271,37996,478,,A359,SE-RSF,1728828277,CPH,LAX,SK931,SK,0,0,SAS931,SAS
69.251,-25.581,37862529,A1F557,298,34000,487,,B772,N225UA,1728828277,MUC,SFO,UA195,UA,0,0,UAL195,UAL
71.292,-26.176,37863bf5,48436E,298,34000,474,,B772,PH-BQG,1728828275,AMS,YYC,KL677,KL,0,0,KLM677,KLM
74.204,-22.151,3785a732,06A122,288,37804,467,,A35K,A7-ANF,1728828277,DOH,LAX,QR739,QR,0,0,QTR30P,QTR
74.883,-18.664,3785a5a8,06A1BF,289,34000,472,,B77W,A7-BEI,1728828277,DOH,SEA,QR719,QR,0,0,QTR719,QTR
73.662,-17.063,37857bcc,485788,150,38975,502,,B789,PH-BHP,1728828276,NRT,AMS,KL862,KL,0,64,KLM862,KLM
73.056,-13.076,3785b06d,06A121,298,36000,475,,A35K,A7-ANE,1728828279,DOH,SFO,QR737,QR,0,0,QTR21R,QTR
70.364,-11.7,378563ed,3965B3,155,35000,496,,B77W,F-GZNT,1728828279,KIX,CDG,AF291,AF,0,0,AFR291,AFR
69.657,-10.771,37856b65,3949EA,157,37000,511,,B772,F-GSPK,1728828279,HND,CDG,AF279,AF,0,0,AFR279,AFR
68.696,-8.655,378660fa,478D42,306,34000,441,,A333,LN-RKR,1728828279,CPH,SFO,SK935,SK,0,0,SAS935,SAS
68.591,-4.67,3785be96,896450,287,34000,458,,B77W,A6-EQA,1728828277,DXB,ORD,EK235,EK,0,0,UAE3U,UAE
68.604,15.257,3786d09a,47873A,45,6100,183,,DH8A,LN-WIV,1728828278,SKN,TOS,WF850,WF,0,1344,WIF850,WIF
68.516,16.675,3786539a,478E3F,176,700,101,,C68A,LN-EUJ,1728828279,OSL,EVE,,,0,-832,BNO42S,INR
69.704,18.431,3786b4d4,478CE7,26,13975,346,,DH8D,LN-WDS,1728828276,BOO,TOS,WF1332,WF,0,-1728,WIF1332,WIF
69.679,18.909,3786c908,4ACB45,90,0,0,,A20N,SE-RZE,1728828222,TOS,OSL,SK4421,SK,1,0,SAS4421,SAS
69.68,18.909,37867d47,45AC52,90,350,4,,A319,OY-KBR,1728828237,OSL,TOS,SK4418,SK,0,0,SAS54T,SAS
69.683,18.912,3786941b,479C74,90,0,0,,S92,LN-OQX,1728828275,TOS,TOS,,,1,0,RESQ07,HMB
69.713,18.94,3786b2cc,478096,200,925,89,,DH8A,LN-WIN,1728828275,HFT,TOS,WF913,WF,0,-512,WIF68E,WIF
75.371,19.514,3785ad1e,80153C,138,35000,476,,B77L,VT-AEF,1728828276,SFO,BOM,AI180,AI,0,0,AIC180,AIC
69.869,23.253,3786ac2a,4780A1,270,20000,218,,DH8A,LN-ILS,1728828276,KKN,TOS,WF997,WF,0,0,WIF4WP,WIF
70.682,23.678,3786d073,47A349,106,0,0,,DH8A,LN-WIX,1728828191,HFT,TOS,WF915,WF,1,0,WIF6UP,WIF
69.895,28.179,3786acbc,47C1C6,90,17400,336,,BE20,LN-BSJ,1728828277,TOS,KKN,,,0,-1408,BNOK,INR
68.671,125.17,3785aed9,8004DA,241,36000,468,,B77L,VT-ALF,1728828282,SFO,DEL,AI184,AI,0,0,AIC184,AIC
61.898,-173.63,3785be16,869560,230,34000,510,,B77W,JA795A,1728828282,JFK,HND,NH159,NH,0,0,ANA159,ANA
