latitude,longitude,id,icao24bit,heading,altitude,groundSpeed,squawk,aircraftCode,registration,time,originAirportIata,destinationAirportIata,number,airlineIata,onGround,verticalSpeed,callsign,airlineIcao
83.629,-101.504,3771bbf8,8964B6,22,35000,483,,A388,A6-EVH,1728371043,LAX,DXB,EK216,EK,0,0,UAE37V,UAE
88.936,-65.131,3771ce45,89647D,52,34996,479,,A388,A6-EUS,1728371046,SFO,DXB,EK226,EK,0,0,UAE41P,UAE
76.029,-151.58,3771c63a,3965B2,20,33000,475,,B77W,F-GZNS,1728371050,HND,CDG,AF163,AF,0,0,AFR163,AFR
79.548,-133.381,3771b378,86DCC4,50,39000,500,,B788,JA841J,1728371050,HND,HEL,JL47,JL,0,0,JAL47,JAL
79.089,-36.78,377108ea,800583,266,36000,452,,B77W,VT-ALT,1728371034,DEL,ORD,AI127,AI,0,0,AIC127,AIC
78.711,65.165,3771c776,896451,171,31000,476,,B77W,A6-EQB,1728371057,SEA,DXB,EK230,EK,0,0,UAE93Q,UAE
71.788,-171.781,3771a197,781A4B,257,30000,480,,B77L,B-220F,1728371059,JFK,PVG,CK232,CK,0,0,CKK232,CKK
68.484,-164.42,3771fcbb,86E4B8,23,37000,496,,B789,JA867J,1728371061,NRT,FRA,JL407,JL,0,-64,JAL407,JAL
70.544,-160.799,3771ee76,869560,29,31000,465,,B77W,JA795A,1728371061,HND,LHR,NH211,NH,0,0,ANA211,ANA
71.57,-160.03,3771e446,868340,27,33000,482,,B77W,JA743J,1728371061,HND,LHR,JL43,JL,0,0,JAL43,JAL
72.283,-157.906,3771def0,86E7BC,28,37000,496,,B789,JA873A,1728371061,HND,FRA,NH223,NH,0,0,ANA223,ANA
73.023,-157.469,3771de6e,3C6703,22,39000,507,,A359,D-AIXC,1728371061,HND,MUC,LH715,LH,0,0,DLH715,DLH
73.669,-153.804,3771d87f,873356,38,36975,498,,B789,JA934A,1728371061,HND,CDG,NH215,NH,0,-64,ANA215,ANA
69.778,-146.414,3771ebcc,7807BB,285,32000,497,,B77L,B-2080,1728371059,ORD,PVG,CZ432,CZ,0,0,CSN432,CSN
71.058,-133.148,3771bf37,407AF4,45,37000,499,,A35K,G-XWBK,1728371061,HND,LHR,BA8,BA,0,0,BAW8,BAW
69.511,-99.998,377220a4,7804C6,316,32000,428,,B77L,B-2071,1728371064,JFK,CAN,CSG2544,CS,0,0,CSG2544,CSG
69.319,-78.793,3771f273,3C65AC,49,36996,531,,A388,D-AIML,1728371064,LAX,MUC,LH453,LH,0,0,DLH453,DLH
71.33,-43.392,37721225,3C6708,105,41000,528,,A359,D-AIXH,1728371058,YVR,MUC,LH477,LH,0,0,DLH477,DLH
69.953,-48.214,3771cef5,3C7A4C,95,37000,530,,A339,D-ANRL,1728371064,SFO,FRA,DE2093,DE,0,0,CFG2093,CFG
72.075,-46.344,3771da7f,478D42,89,39000,518,,A333,LN-RKR,1728371062,SFO,CPH,SK936,SK,0,0,SAS936,SAS
68.707,-46.282,3771cdb2,48436A,103,37000,530,,B772,PH-BQC,1728371062,LAX,AMS,KL604,KL,0,0,KLM604,KLM
75.578,-45.089,377204e3,A4CE71,111,37000,537,,A339,N409DX,1728371061,SEA,AMS,DL144,DL,0,0,DAL144,DAL
69.563,-44.94,37721e22,C000EB,105,36975,541,,B789,C-FAJA,1728371064,YYC,LHR,WS18,WS,0,-64,WJA18,WJA
68.652,-27.153,3771c214,06A12C,109,37000,515,,A35K,A7-ANP,1728371062,SFO,DOH,QR738,QR,0,0,QTR62J,QTR
70.606,-22.72,3771a59a,4ACA63,122,41000,521,,A359,SE-RSC,1728371064,LAX,CPH,SK932,SK,0,0,SAS932,SAS
74.768,-14.643,37717a19,800463,244,34000,481,,B77W,VT-ALN,1728371062,DEL,YYZ,AI187,AI,0,0,AIC187,AIC
68.853,16.241,37729b21,4786C5,354,9625,216,,DH8A,LN-WIU,1728371064,EVE,ANX,WF864,WF,0,-640,WIF6Y,WIF
69.687,18.915,3772a192,48C5EB,2,0,0,,AT75,SP-SPL,1728371064,TOS,LYR,P8296,P8,1,0,SRN296,SRN
70.811,22.507,37729476,47A6BC,227,4350,121,,A169,LN-OXI,1728371064,HFT,,ALI2,AL,0,0,ALI02,ALI
70.598,23.257,37729fe5,478098,239,5925,168,,DH8A,LN-WIP,1728371065,HFT,TOS,WF974,WF,0,1344,WIF974,WIF
69.98,23.398,3772a18a,47812E,309,725,66,,EH10,0280,1728371063,ALF,,,,0,576,SAVER30,NOW
72.131,27.292,37725b98,151E7C,275,32000,52,,B772,RA-73340,1728371066,SVO,CCC,N4551,N4,0,0,NWS551,NWS
70.266,28.35,37729af1,47808E,292,11975,219,,DH8A,LN-WIF,1728371062,VDS,HFT,WF933,WF,0,0,WIF933,WIF
70.356,31.042,377299e0,478096,255,0,0,,DH8A,LN-WIN,1728370982,VDS,VAW,WF953,WF,1,0,WIF72L,WIF
68.547,32.481,3772715d,155C56,20,27700,408,,SU95,RA-89174,1728370772,LED,MMK,SU6341,SU,0,0,SDM6341,SDM
70.17,67.188,377253af,151D44,59,33000,415,,A21N,RA-73028,1728371066,DME,SBT,0E9051,0E,0,0,NWC9051,NWC
70.321,68.309,37729e23,155BDA,303,0,21,,SU95,RA-89050,1728371067,BVJ,,4G9672,4G,1,0,GZP9672,GZP
68.636,75.096,37728ca2,14FA33,253,34000,395,,T204,RA-64051,1728371063,NSK,,4B9623,4B,0,0,TUP9623,TUP
71.894,90.665,37723701,151E40,263,34000,461,,B773,RA-73280,1728371066,GDX,SVO,SU6290,SU,0,0,SDM6290,SDM
71.698,128.721,3771baa3,800584,51,33000,491,,B77W,VT-ALU,1728371068,DEL,YVR,AI185,AI,0,0,AIC185,AIC
68.943,130.285,37724943,151DBB,306,34000,462,,B77W,RA-73147,1728371068,PKC,SVO,SU1735,SU,0,0,AFL1735,AFL
69.684,170.074,3771a165,780BB7,241,36000,469,,B77L,B-2096,1728371070,ORD,PVG,CAO1010,CA,0,0,CAO1010,CAO
65.583,-167.194,37720a48,4B1918,30,31000,463,,B77W,HB-JNC,1728371063,NRT,ZRH,LX161,LX,0,0,SWR161,SWR
67.335,-165.732,3771fcb1,867F8A,22,33000,470,,B77W,JA732J,1728371069,HND,CDG,JL45,JL,0,0,JAL45,JAL
61.638,-151.32,37721529,7BC009,305,38000,491,,B744,B-2409,1728371070,LAX,PEK,CA8434,CA,0,0,CAO8434,CAO
61.324,-150.108,37729910,A76FE9,13,7100,265,,B738,N579AS,1728371070,ANC,FAI,AS1068,AS,0,3392,1068,ASA
61.539,-149.926,377293ed,A9DACE,174,3300,124,,C172,N734KF,1728371071,TKA,,,,0,-448,N734KF,
61.602,-149.402,37726eec,ABEF1D,89,2100,110,,C172,N8681U,1728371070,TKA,,,,0,0,N8681U,
61.372,-143.619,37728e1d,4D0116,90,33000,480,,B748,LX-VCL,1728371070,ANC,ORD,,,0,192,CLX83W,CLX
61.42,-133.029,37727b59,AA739E,96,35000,475,,B38M,N77259,1728371070,ANC,ORD,UA2271,UA,0,0,UAL2271,UAL
65.003,-95.988,3772215f,4B1916,57,35000,484,,B77W,HB-JNA,1728371073,SFO,ZRH,LX39,LX,0,0,SWR39,SWR
64.198,-90.232,37721858,A28DC8,68,33000,496,,B77W,N2639U,1728371069,SFO,FRA,UA926,UA,0,0,UAL926,UAL
64.278,-88.509,37724791,4078DD,67,37000,494,,A35K,G-XWBF,1728371069,YVR,LHR,BA84,BA,0,0,BAW88C,BAW
65.086,-85.266,377216f0,4BB0EA,74,37000,501,,A359,TC-LGJ,1728371070,SFO,IST,TK80,TK,0,0,THY9WC,THY
62.524,-83.902,37723aa7,407898,73,37004,492,,B78X,G-ZBLA,1728371073,SEA,LHR,BA48,BA,0,0,BAW48Q,BAW
66.341,-80.732,3771ff40,7380C9,52,34996,502,,B789,4X-EDK,1728371070,LAX,TLV,LY106,LY,0,0,ELY106,ELY
62.764,-78.115,3771f718,,61,41000,486,,GLEX,,1728371073,,,,,0,0,GLEX,
65.402,-76.786,37722b41,4CA5C6,74,39000,483,,A332,EI-DUO,1728371070,SEA,DUB,EI52,EI,0,0,EIN952,EIN
62.524,-76.622,377211a0,407993,75,35000,463,,B77W,G-STBN,1728371070,SFO,LHR,BA286,BA,0,0,BAW6B,BAW
67.596,-65.269,37721698,407979,75,36992,513,,B78X,G-ZBLC,1728371070,PDX,LHR,BA266,BA,0,0,BAW26V,BAW
66.494,-70.405,37723b96,C038C8,87,39000,499,,B789,C-FVNB,1728371073,YYC,LHR,AC850,AC,0,0,ACA850,ACA
65.999,-59.504,3771e220,4CA7D8,85,39000,463,,A333,EI-GAJ,1728371071,SFO,DUB,EI60,EI,0,0,EIN960,EIN
62.996,-55.448,3771d97e,48AE07,65,41000,447,,B788,SP-LRH,1728371072,LAX,WAW,LO22,LO,0,0,LOT2PG,LOT
66.899,-51.449,3772092f,4BB0EE,79,39000,496,,A359,TC-LGN,1728371071,SEA,IST,TK204,TK,0,0,THY8JK,THY
61.848,-44.388,37712717,800738,238,40000,482,,B788,VT-ANR,1728371071,DEL,IAD,AI103,AI,0,-64,AIC103,AIC
63.076,-45.234,37722897,C030EB,66,38000,411,,B38M,C-FSNQ,1728371070,YYZ,KEF,AC914,AC,0,0,ACA914,ACA
62.396,-46.887,3771a496,7380C8,256,36000,520,,B789,4X-EDJ,1728371071,TLV,LAX,LY5,LY,0,-64,ELY005,ELY
64.61,-45.157,377203bd,3C7A46,102,39000,460,,A339,D-ANRF,1728371070,YVR,FRA,DE2455,DE,0,0,CFG2455,CFG
63.07,-42.694,3771b677,AACC5B,92,35000,457,,B772,N795UA,1728371070,SFO,FCO,UA507,UA,0,0,UAL507,UAL
66.048,-41.819,3771ce04,AAD3C9,92,37000,484,,B772,N797UA,1728371070,SFO,LHR,UA948,UA,0,0,UAL948,UAL
62.282,-38.847,37713b10,8004DF,242,36000,508,,B77W,VT-ALQ,1728371070,DEL,JFK,AI101,AI,0,0,AIC101,AIC
66.602,-38.783,377141a8,8004E0,219,36000,503,,B77W,VT-ALR,1728371073,DEL,EWR,AI105,AI,0,0,AIC105,AIC
65.827,-32.367,37720960,C06022,129,36975,538,,B789,C-GKKN,1728371072,YYC,CDG,WS10,WS,0,0,WJA10,WJA
65.901,-34.014,3771fb96,484561,116,35000,533,,B77W,PH-BVD,1728371070,YVR,AMS,KL682,KL,0,0,KLM226,KLM
65.659,-30.515,3771f7c2,C01723,126,35000,510,,B77W,C-FITU,1728371072,YVR,LHR,AC860,AC,0,0,ACA860,ACA
65.537,-25.546,37714797,8015A8,256,36000,465,,B77W,VT-AEN,1728371071,BOM,JFK,AI119,AI,0,0,AIC119,AIC
62.057,-28.051,3771dbce,01013C,267,34000,273,,B77W,SU-GDN,1728371070,CAI,YYZ,MS995,MS,0,0,MSR995,MSR
67.296,-23.926,3771c136,406ECC,143,37000,532,,B789,G-VFAN,1728371073,SFO,LHR,VS20,VS,0,-64,VIR20V,VIR
63.81,-23.488,3771a98e,A219EA,115,35000,508,,B77W,N2341U,1728371073,SFO,FRA,UA58,UA,0,0,UAL58,UAL
62.355,-23.146,3771ee5f,740828,86,37975,489,,B788,JY-BAH,1728371072,ORD,AMM,RJ264,RJ,0,-64,RJA264,RJA
61.949,-22.223,3771808c,06A0E6,266,39100,513,,A359,A7-AMG,1728371070,DOH,IAD,QR709,QR,0,0,QTR69G,QTR
64.633,-21.83,3771f75a,C07B42,128,40975,507,,B789,C-GURP,1728371071,YYC,EDI,WS60,WS,0,0,WJA60,WJA
63.387,-18.894,37729099,A4CBEF,115,27000,375,,P180,N408SF,1728371073,KEF,WIC,,,0,0,N408SF,
65.25,-21.67,3771d1aa,AE4D6A,123,31000,468,,C17,10-0217,1728371069,TCM,,RCH797,RC,0,0,RCH797,RCH
63.687,-21.449,3772575f,505CF6,288,16875,333,,B738,OM-EDH,1728371073,BLL,KEF,ED6810,ED,0,-1920,AXE6810,AXE
64.434,-21.197,3771b0ff,AAAC4A,129,35000,512,,B772,N787UA,1728371072,SFO,AMS,UA968,UA,0,0,UAL968,UAL
62.523,-20.693,377170ef,C038AC,273,36000,482,,B789,C-FVLZ,1728371073,DXB,YYZ,AC57,AC,0,0,ACA57,ACA
62.673,-18.897,3772928c,4CC545,120,36125,468,,A21N,TF-PLA,1728371073,KEF,STN,OG800,OG,0,832,FPY1,FPY
63.464,-15.912,37728c53,4CC56E,101,38975,458,,A20N,TF-PPF,1728371073,KEF,HAM,OG740,OG,0,0,FPY62,FPY
63.655,-15.427,37720f73,4BB18F,282,35975,465,,B789,TC-LLO,1728371073,IST,HAV,TK195,TK,0,0,THY195,THY
62.063,-13.114,37720000,C058D5,91,41000,492,,B788,C-GHQQ,1728371075,YYZ,CPH,AC828,AC,0,0,ACA828,ACA
61.436,-12.935,3771ddae,47C1C2,86,41000,481,,A333,LN-RKU,1728371066,ORD,CPH,SK944,SK,0,-64,SAS944,SAS
63.215,-12.842,37728b09,4CC561,104,39025,460,,A20N,TF-PPC,1728371071,KEF,CPH,OG900,OG,0,0,FPY7,FPY
61.527,-11.889,37725e98,440005,296,36000,433,,A320,OE-ING,1728371073,ORY,KEF,U24895,U2,0,0,EJU4895,EZY
64.837,-9.514,3771e7b2,C085D5,127,38975,509,,B789,C-GYRS,1728371073,YYC,FCO,WS32,WS,0,0,WJA32,WJA
61.972,-9.302,377182f2,896175,277,34000,483,,B77L,A6-EWC,1728371074,DXB,YUL,EK243,EK,0,0,UAE243,UAE
62.297,-7.004,3771c0a3,4B1901,142,39000,490,,A343,HB-JMF,1728371075,YVR,ZRH,WK11,WK,0,0,EDW11K,EDW
63.171,-4.601,3771ab7e,06A2B3,130,33000,497,,B77W,A7-BEO,1728371073,SEA,DOH,QR720,QR,0,0,QTR98P,QTR
62.978,-4.384,377179c1,3C4B21,131,37000,505,,B748,D-ABYA,1728371069,LAX,FRA,LH457,LH,0,0,DLH457,DLH
62.849,-0.556,377282bb,,294,36000,417,,C25C,,1728371074,,,,,0,0,C25C,
62.502,5.844,37728860,45AC52,64,3225,160,,A319,OY-KBR,1728371071,OSL,AES,SK1314,SK,0,-1024,SAS1314,SAS
62.167,6.031,3772a021,47808C,232,1600,129,,DH8A,LN-WID,1728371073,HOV,,,,0,1728,WIF3MH,WIF
62.556,6.091,3772893b,47A22C,64,400,123,,B738,LN-ENQ,1728371073,OSL,AES,DY402,DY,0,-704,NOZ4PD,NOZ
61.281,6.262,3772876b,47A985,2,11850,229,,PC12,LN-BOG,1728371073,KRS,,,,0,-1792,LNBOG,
62.394,6.498,37729b1a,478CE7,212,22000,281,,DH8D,LN-WDS,1728371071,MOL,BGO,WF503,WF,0,-64,WIF36F,WIF
62.649,6.725,37728b88,4784C2,11,5775,205,,B738,LN-NOD,1728371071,OSL,MOL,DY422,DY,0,-1216,NOZ422,NOZ
61.966,11.512,37729452,4A80CE,353,19000,286,,F50,SE-LFS,1728371064,OSL,,AFP3136,AF,0,0,AFP3136,APF
61.489,7.265,37728fd1,479EE7,222,29125,358,,B738,LN-NHE,1728371071,TRD,BGO,DY165,DY,0,-1792,NOZ9WB,NOZ
63.073,7.701,37729eb5,4785BD,225,3850,181,,DH8D,LN-WDK,1728371073,KSU,BGO,WF563,WF,0,2304,WIF6AR,WIF
63.456,10.889,377279cf,479301,281,0,18,,E290,LN-WEC,1728371071,BGO,TRD,WF1303,WF,1,0,WIF5F,WIF
63.26,11.059,37729e00,479BAC,188,18050,364,,FA8X,LN-XAX,1728371071,TRD,OSL,AKK8,AK,0,4992,AKK8,AKK
61.693,11.555,3772952a,4ACAA4,3,35225,462,,A20N,SE-RUD,1728371072,OSL,EVE,SK4082,SK,0,1408,SAS4082,SAS
64.974,11.802,3772929f,479D6C,5,13975,205,,DH8A,LN-FVB,1728371072,TRD,BNN,,,0,-1472,WIF31N,WIF
63.512,11.88,37728f85,4ACA04,10,37000,466,,B738,SE-RPD,1728371074,OSL,BOO,DY340,DY,0,0,NOZ4RZ,NOZ
62.875,11.994,37726e15,4601F2,291,20025,259,,AT75,OH-ATE,1728371072,HEL,TRD,AY947,AY,0,0,FIN9DX,FIN
65.473,12.239,37728cf5,478092,202,550,95,,DH8A,LN-WIJ,1728371071,BOO,BNN,WF703,WF,0,-832,WIF703,WIF
67.607,12.405,37729e62,478095,52,7125,167,,DH8A,LN-WIM,1728371073,RET,LKN,WF892,WF,0,1472,WIF21T,WIF
65.996,12.884,37728c4a,45CAA6,31,21025,328,,AT45,OY-RUF,1728371072,OLA,EVE,,,0,0,DNU71E,DTR
66.646,13.664,37727ef4,478E27,35,39000,473,,E290,LN-WEA,1728371072,BGO,TOS,WF622,WF,0,0,WIF75N,WIF
63.804,20.257,37728510,4CADDB,138,200,115,,A20N,EI-SIZ,1728371074,ARN,UME,SK24,SK,0,-768,SAS024,SAS
