latitude,longitude,id,icao24bit,heading,altitude,groundSpeed,squawk,aircraftCode,registration,time,originAirportIata,destinationAirportIata,number,airlineIata,onGround,verticalSpeed,callsign,airlineIcao
76.877,31.666,38485568,8004DB,316,34000,413,,B77L,VT-ALG,1733771087,DEL,YYZ,AI189,AI,0,0,AIC189,AIC
70.194,-167.446,38489a77,461F57,2,39000,520,,A359,OH-LWP,1733771094,HND,HEL,AY62,AY,0,0,FIN62,FIN
71.287,-156.774,38498d3f,A84E0C,123,0,2,,E75L,N634QX,1733771090,BRW,ANC,AS2085,AS,1,0,QXE2085,ASA
68.733,-150.133,3849231d,AACE8F,357,24000,352,,DH8D,N796CP,1733771094,ANC,UUK,,,0,-64,CON151,CON
69.556,-144.128,3849745f,AA8349,198,22200,157,,PC12,N777CQ,1733771094,BTI,FAI,5V5061,5V,0,960,N777CQ,VTS
68.734,-104.932,384884c4,478854,217,36000,481,,A333,LN-RKS,1733771096,CPH,SFO,SK935,SK,0,64,SAS935,SAS
68.893,-95.004,38484f86,394A15,235,35000,459,,B77W,F-GSQV,1733771093,CDG,LAX,AF24,AF,0,0,AFR24U,AFR
73.129,-93.31,3848849b,4B1918,225,34525,462,,B77W,HB-JNC,1733771096,ZRH,SFO,LX38,LX,0,0,SWR38K,SWR
69.77,-86.034,3848470f,4072EA,238,37996,470,,B789,G-VWOO,1733771093,LHR,SEA,VS105,VS,0,0,VIR105,VIR
74.475,-84.065,384897eb,3C7A43,242,36000,460,,A339,D-ANRC,1733771093,FRA,SEA,DE2034,DE,0,0,CFG2034,CFG
71.473,-86.027,3848ac7c,C0173E,251,34000,470,,B77W,C-FIUV,1733771093,LHR,YVR,AC861,AC,0,0,ACA861,ACA
69.645,-85.844,38485edc,4BA952,248,34000,467,,B77W,TC-JJR,1733771096,IST,SFO,TK79,TK,0,0,THY79K,THY
69.803,-84.661,3849486a,C035F3,23,21000,270,,AT72,C-FULE,1733771096,YRT,YIO,MO470,MO,0,0,CAV470,CAV
71.149,-79.162,3848b2a9,485343,241,38000,440,,B789,PH-BHI,1733771093,AMS,YEG,KL675,KL,0,0,KLM281,KLM
71.525,-77.056,3848a8de,A2E014,254,34000,463,,B77W,N2846U,1733771093,FRA,SFO,UA59,UA,0,0,UAL59,UAL
69.681,-77.039,38494b44,C05768,327,22000,255,,AT43,C-GHCP,1733771093,YFB,YAB,5T882,5T,0,0,AKT882,AKT
70.804,-70.774,384854a6,C0103E,259,38000,478,,B789,C-FGDX,1733771093,LHR,YYC,AC851,AC,0,0,ACA851,ACA
71.601,-69.091,3848aa20,3C5B32,251,36000,443,,A333,D-AFYR,1733771093,FRA,YYC,4Y76,4Y,0,0,OCN76,OCN
69.053,-57.61,384873b1,C079D5,267,36000,481,,B789,C-GUDO,1733771094,CDG,YYC,WS9,WS,0,-64,WJA9,WJA
69.85,-48.718,384946f5,4CC582,289,34000,451,,B38M,TF-ICJ,1733771096,KEF,SEA,FI681,FI,0,-64,ICE681,ICE
69.079,-44.42,3848f496,C085D5,270,36000,476,,B789,C-GYRS,1733771096,LHR,YYC,WS19,WS,0,-64,WJA19,WJA
69.264,-38.392,38495980,4CC576,323,34000,460,,B38M,TF-ICI,1733771096,KEF,YVR,FI697,FI,0,0,ICE45R,ICE
70.259,-42.505,3848f26a,406B21,288,37996,488,,A388,G-XLEH,1733771096,LHR,LAX,BA269,BA,0,0,BAW7D,BAW
73.774,-38.169,3848e4be,4D0110,294,34000,494,,B744,LX-RCV,1733771098,LUX,SEA,CV6291,CV,0,0,CLX13K,CLX
68.794,-35.417,3848f867,A2F2FA,308,36000,494,,B789,N28987,1733771098,LHR,LAX,UA935,UA,0,0,UAL935,UAL
72.477,-23.835,3848c4e8,789215,29,35004,536,,A35K,B-LXC,1733771096,JFK,HKG,CX841,CX,0,0,CPA841,CPA
71.078,-23.768,3848bed6,3C6716,312,38004,475,,A359,D-AIXV,1733771098,MUC,SFO,LH458,LH,0,0,DLH458,DLH
68.716,17.583,38498079,4409C0,207,27450,415,,A320,OE-IVA,1733771098,TOS,BER,U25384,U2,0,1152,EJU5384,EZY
68.724,16.317,38494c13,47A05E,33,8075,242,,B738,LN-ENV,1733771100,OSL,EVE,DY366,DY,0,-1728,NOZ6TC,NOZ
69.73,18.95,3849589d,479555,193,1300,125,,BE20,LN-BSG,1733771100,VDS,TOS,,,0,-896,BNOE,INR
69.109,21.519,3849494a,4ACAB2,76,36975,486,,A20N,SE-RUR,1733771100,OSL,KKN,SK4478,SK,0,0,SAS4478,SAS
70.077,22.881,38497eae,4792A6,121,4825,248,,B738,LN-NIM,1733771101,TOS,ALF,DY328,DY,0,-1728,NOZ328,NOZ
68.587,79.614,3848f983,151EE9,75,36950,473,,A20N,RA-73449,1733771102,DME,YKS,S73007,S7,0,448,SBI3007,SBI
69.453,103.374,3848f40b,151DB3,88,33000,506,,B77W,RA-73139,1733771103,SVO,PKC,SU1730,SU,0,0,AFL1730,AFL
61.324,-176.524,3848c811,48AE04,349,37000,495,,B788,SP-LRE,1733771106,NRT,WAW,LO80,LO,0,0,LOT80,LOT
64.388,-174.891,38489cbd,7802FE,278,34000,500,,B744,B-2423,1733771085,LAX,SZX,O3102,O3,0,0,CSS102,CSS
63.966,-170.537,3848b8ab,86D9F4,45,37000,505,,B789,JA837A,1733771105,HND,FRA,NH203,NH,0,0,ANA203,ANA
64.271,-168.63,3848a442,781F00,277,36000,482,,B77L,B-223F,1733771106,LAX,SZX,CK230,CK,0,0,CKK230,CKK
61.785,-163.09,3849772d,A00FCC,136,2500,100,,C208,N1029Y,1733771097,EMK,,,,0,0,N1029Y,
62.252,-160.486,38496e39,,24,1900,130,,,,1733771085,BET,,,,0,-64,REN002,
61.232,-159.295,38496c28,A35EEB,267,38025,482,,B763,N316UP,1733771106,ANC,KIX,5X104,5X,0,-128,UPS104,UPS
