latitude,longitude,id,icao24bit,heading,altitude,groundSpeed,squawk,aircraftCode,registration,time,originAirportIata,destinationAirportIata,number,airlineIata,onGround,verticalSpeed,callsign,airlineIcao
77.837,-26.71,385ecee6,3965A2,137,34996,466,,B77W,F-GZNC,1734402718,HND,CDG,AF293,AF,0,0,AFR293,AFR
75.938,-24.214,385ed43a,86DCC4,148,41000,470,,B788,JA841J,1734402719,HND,LHR,JL41,JL,0,-64,JAL41,JAL
80.017,21.327,385f53d8,780A3E,86,37000,466,,B748,B-LJI,1734402718,JFK,HKG,CX2087,CX,0,0,CPA2087,CPA
77.125,27.934,385f0bea,80153B,121,35000,473,,B77L,VT-AEI,1734402721,SFO,DEL,AI174,AI,0,0,AIC174,AIC
80.255,49.734,385eeedb,78023E,87,33000,455,,B77W,B-KPR,1734402718,JFK,HKG,CX831,CX,0,0,CPA831,CPA
77.789,153.369,385f3f03,789231,224,36000,451,,A35K,B-LXK,1734402720,YYZ,HKG,CX805,CX,0,0,CPA805,CPA
70.507,-160.588,385f755f,781E2B,271,30000,496,,B77L,B-222J,1734402725,ORD,PVG,CK228,CK,0,0,CKK228,CKK
71.068,-157.317,3860362d,AA4A81,39,2775,141,,C208,N762RV,1734402725,AIN,ATK,,,0,-384,N762RV,WRF
71.059,-156.466,38603fbf,A78FFA,162,10525,266,,B738,N587AS,1734402725,BRW,ANC,AS50,AS,0,2944,ASA50,ASA
69.263,-149.665,38603c6e,AACE8F,182,25000,321,,DH8D,N796CP,1734402725,UUK,ANC,,,0,-64,CON252,CON
69.885,-147.601,385f8789,780D9F,284,30000,499,,B77W,B-2023,1734402725,YYZ,PVG,MU208,MU,0,0,CES208,CES
70.538,-128.756,385f7865,780D9C,281,32000,466,,B77W,B-2020,1734402723,JFK,PVG,MU588,MU,0,0,CES588,CES
75.384,-23.723,385ed13c,86D9D2,142,39000,471,,B789,JA836A,1734402729,HND,MXP,NH207,NH,0,0,ANA207,ANA
69.684,18.915,3860231d,48C5EB,351,0,0,,AT75,SP-SPL,1734402727,BOO,TOS,P8494,P8,1,0,SRN494,SRN
69.061,86.127,385fd9b1,151EE9,269,32925,385,,A20N,RA-73449,1734402731,YKS,DME,S73008,S7,0,960,SBI3008,SBI
68.89,94.651,385ff2a6,151D91,282,32025,392,,B738,RA-73105,1734402731,YKS,SVO,SU1751,SU,0,-192,AFL1751,AFL
64.669,-179.754,385e96c0,780DA8,94,31000,476,,B77L,B-2026,1734402733,TAO,YVR,CZ421,CZ,0,0,CSN421,CSN
64.366,-174.277,385f5a97,780DA9,271,34000,460,,B77L,B-2027,1734402732,LAX,CAN,CZ472,CZ,0,0,CSN472,CSN
62.074,-173.16,385f53c5,868DD7,233,32000,480,,B77L,JA772F,1734402732,ORD,NRT,NH8401,NH,0,0,ANA8401,ANA
65.116,-166.023,38604028,AC84F9,108,9000,190,,DC6,N9056R,1734402733,TNC,EDF,5V35,5V,0,0,VTS35,VTS
64.074,-168.255,38604039,,77,21000,270,,B190,,1734402728,SVA,OME,8E853,8E,0,0,BRG853,
66.899,-162.69,38602952,AB9DAB,129,900,82,,C208,N848BA,1734402733,PHO,OTZ,8E663,8E,0,-1024,BRG663,BRG
66.885,-160.872,38603771,ADE199,265,7675,189,,C208,N994BA,1734402733,SHG,OTZ,8E622,8E,0,-448,BRG622,BRG
64.514,-165.468,3860305a,A7EED8,108,250,71,,C208,N610BA,1734402689,SHH,OME,8E884,8E,0,-576,BRG884,BRG
61.329,-164.729,3860377d,A5828E,89,1300,120,,C208,N454SF,1734402726,HPB,,,,0,-64,N454SF,
67.579,-164.24,3860408d,A80522,137,3500,145,,C208,N616BA,1734402733,KVL,OTZ,8E2671,8E,0,0,BRG2671,BRG
64.568,-163.978,38603c08,A16845,265,6700,150,,C208,N190BA,1734402658,ELI,OME,8E822,8E,0,0,BRG822,BRG
66.521,-162.058,38603db6,A8FD41,329,5325,178,,C208,N679BA,1734402734,DRG,OTZ,8E642,8E,0,-512,BRG642,BRG
