latitude,longitude,id,icao24bit,heading,altitude,groundSpeed,squawk,aircraftCode,registration,time,originAirportIata,destinationAirportIata,number,airlineIata,onGround,verticalSpeed,callsign,airlineIcao
82.011,-146.409,364b70f9,78922F,283,34000,447,,A35K,B-LXI,1721791370,YYZ,HKG,CX825,CX,0,0,CPA825,CPA
75.965,35.708,364aec92,80153C,130,35000,471,,B77L,VT-AEF,1721791366,SFO,DEL,AI174,AI,0,0,AIC174,AIC
78.073,97.22,364b1f37,780220,153,33000,559,,B77W,B-KPI,1721791374,JFK,HKG,CX831,CX,0,0,CPA831,CPA
71.287,-156.777,364c4f72,A36DEC,270,0,1,,C208,N32WA,1721791341,AIN,BRW,,,1,0,N32WA,WRF
71.368,-101.251,364be5d2,896452,31,31000,475,,B77W,A6-EQC,1721791378,SEA,DXB,EK230,EK,0,0,UAE93Q,UAE
68.653,-78.831,364bc4aa,3C7A49,70,37000,517,,A339,D-ANRI,1721791378,PDX,FRA,DE2091,DE,0,0,CFG2091,CFG
68.749,-73.359,364bd202,06A2C4,76,31004,544,,B77W,A7-BEU,1721791378,SEA,DOH,QR720,QR,0,0,QTR98P,QTR
69.291,-70.985,364b874b,AA92FB,68,33004,534,,B772,N78004,1721791382,SFO,CDG,UA990,UA,0,0,UAL990,UAL
69.85,-64.841,364bcb9c,3C15C2,80,37000,503,,A332,D-AXGF,1721791382,YYC,FRA,4Y689,4Y,0,0,OCN689,OCN
68.941,-62.427,364b88a6,AAAC4A,82,37000,510,,B772,N787UA,1721791374,SFO,AMS,UA968,UA,0,0,UAL968,UAL
70.015,-59.734,364bd4fe,3C7A45,80,39000,498,,A339,D-ANRE,1721791380,YEG,FRA,DE2469,DE,0,0,CFG2469,CFG
68.443,-56.37,364b7955,AAD012,73,37000,506,,B772,N796UA,1721791380,SFO,ZRH,UA44,UA,0,0,UAL44,UAL
69.806,-53.248,364b7015,AADB37,78,35000,513,,B772,N799UA,1721791381,SFO,MUC,UA194,UA,0,0,UAL194,UAL
70.018,-49.325,364b495d,4BA959,85,33000,504,,B77W,TC-JJY,1721791380,LAX,IST,TK180,TK,0,0,THY12E,THY
70.018,-40.629,364b6590,A1C82A,94,35000,504,,B77W,N2138U,1721791382,SFO,FRA,UA58,UA,0,0,UAL58,UAL
69.359,-32.905,364b489b,4BB18D,107,37000,500,,B789,TC-LLM,1721791378,SFO,IST,TK290,TK,0,0,THY4MS,THY
68.978,13.07,364b5f5b,7608FA,114,33000,437,,B77L,AP-BGZ,1721791380,YYZ,LHE,PK790,PK,0,0,PIA790,PIA
74.651,31.489,364b5188,800741,300,39425,491,,B788,VT-NAA,1721791379,DEL,IAD,AI103,AI,0,832,AIC103,AIC
70.708,46.996,364b70af,8003E2,312,32000,464,,B77W,VT-ALJ,1721791382,DEL,JFK,AI101,AI,0,0,AIC101,AIC
69.814,49.671,364b782c,8004DD,327,33000,446,,B77W,VT-ALO,1721791378,DEL,ORD,AI127,AI,0,0,AIC127,AIC
68.924,51.184,364b5890,8015A6,330,34000,471,,B77W,VT-AEQ,1721791378,BOM,JFK,AI119,AI,0,0,AIC119,AIC
68.488,73.771,364c4987,151E23,252,36000,464,,B738,RA-73251,1721791381,NSK,DME,Y7102,Y7,0,0,TYA102,TYA
68.54,75.762,364c4c62,151F12,248,34000,463,,A321,RA-73490,1721791381,NSK,DME,S72582,S7,0,0,SBI2582,SBI
69.904,126.773,364b9a65,151E3D,87,35000,515,,B77W,RA-73277,1721791386,SVO,GDX,SU6291,SU,0,0,SDM6291,SDM
68.783,130.883,364bf8b6,151DB4,306,34000,409,,B77W,RA-73140,1721791385,PKC,SVO,SU1731,SU,0,0,AFL1731,AFL
62.824,-164.183,364c5ecb,,87,10800,140,,C441,,1721791385,,,,,0,2624,C441,
61.867,-162.82,364c4acd,A9EC69,317,1300,100,,C207,N7389U,1721791370,BET,,,,0,0,N7389U,
61.917,-162.683,364c51bf,A4DB69,159,5425,160,,PA31,N41189,1721791384,KOT,,,,0,128,N41189,
64.86,-161.921,364c22b0,A6134F,45,4900,120,,C182,N4906N,1721791386,UNK,,,,0,768,N4906N,
61.867,-159.892,364c48c7,A97007,144,3600,180,,C208,N707RA,1721791378,SMK,,,,0,0,N707RA,RYA
62.942,-155.459,364c6024,A1C8A1,113,2800,130,,PC12,N214CS,1721791378,MCG,,,,0,0,N214CS,STT
63.253,-153.456,364c43ad,A83920,137,35000,418,,E75L,N629QX,1721791383,OTZ,ANC,AS2100,AS,0,0,QXE2100,ASA
62.281,-153.384,364c58bd,A32B21,137,11000,140,,C208,N303GV,1721791382,MCG,PAQ,,,0,0,N303GV,
62.227,-152.42,364c3f1c,AAF831,117,34675,434,,B38M,N806AK,1721791383,OME,ANC,AS155,AS,0,-960,ASA155,ASA
61.797,-151.542,364c4fa0,A41841,311,26625,198,,BE20,N363JH,1721791383,ANC,OME,,,0,640,LN363JH,BRG
62.878,-151.151,364c472a,A9BE80,119,10275,114,,DH3T,N727KT,1721791383,TKA,,,,0,192,N727KT,
62.936,-150.891,364c4583,A50B6E,208,9775,142,,DH3T,N424KT,1721791383,TKA,,,,0,-384,N424KT,
62.932,-150.862,364c2b6f,AC8A23,101,10900,124,,DHC2,N907KW,1721791383,,,,,0,-640,N907KW,
62.937,-150.774,364c48ff,A1534F,97,8625,130,,C185,N185AR,1721791382,MCL,,,,0,-832,N185AR,
63.001,-150.718,364c49ee,A3C966,337,6950,128,,DH2T,N343KT,1721791338,TKA,,,,0,0,N343KT,
62.935,-150.714,364c4953,A854F9,94,7375,132,,DH3T,N636KT,1721791370,TKA,,,,0,0,N636KT,
61.563,-150.421,364c56ec,A56B26,323,1800,120,,C185,N4483R,1721791383,,,,,0,0,N4483R,
62.835,-150.396,364c386e,A18F8B,180,5425,145,,DH3T,N2YV,1721791386,TKA,,,,0,0,N2YV,
61.25,-150.201,364c4827,A31C78,136,1750,115,,C182,N3UX,1721791383,ENA,MRI,,,0,-960,N3UX,
62.407,-150.177,364c3767,A8103E,184,25950,397,,B737,N619AS,1721791385,SCC,ANC,AS87,AS,0,-2368,ASA87,ASA
61.286,-150.144,364c58ce,AC6283,248,600,68,,PA18,N8976D,1721791384,ANC,,,,0,-704,N8976D,
61.609,-150.093,364c47fe,A69128,306,1900,100,,P28A,N522JD,1721791378,PAQ,,,,0,0,N522JD,
61.406,-150.09,364c4081,A68FF0,87,1575,68,,C172,N52168,1721791383,MRI,,,,0,-576,N52168,
61.932,-150.078,364c486b,A6FCE7,7,2025,104,,C172,N54983,1721791383,MRI,TKA,,,0,192,N54983,
61.286,-150.065,364c5d5b,AC893F,104,1150,119,,AC90,N907AT,1721791385,,,,,0,0,N907AT,
61.229,-149.982,364b6c0c,A12723,151,1025,99,,C206,N1733R,1721791385,,,,,0,0,N1733R,
61.31,-149.98,364c2b66,A08515,175,2100,81,,C172,N13205,1721791385,MRI,TKA,,,0,768,N13205,
61.555,-149.971,364c5084,A9DACE,4,2325,93,,C172,N734KF,1721791383,MRI,,,,0,-128,N734KF,
61.397,-149.876,364c47d8,AA34AF,353,2375,53,,C152,N757GQ,1721791383,MRI,,,,0,64,N757GQ,
61.561,-149.857,364c457b,A79039,128,725,96,,R44,N587DE,1721791383,,,,,0,-128,N587DE,
61.496,-149.85,364c3af4,A84B83,27,3400,88,,C172,N6332D,1721791383,PAQ,ANC,,,0,0,N6332D,
65.056,-149.747,364c4d32,A761C8,111,5500,160,,C208,N575JD,1721791358,,,,,0,0,N575JD,VTS
61.555,-149.557,364c5e13,A6308E,95,1275,68,,C152,N49827,1721791385,WWA,,,,0,448,N49827,
65.623,-149.354,364c4e17,A4CA3D,353,10500,170,,PA31,N4079H,1721791382,FAI,FYU,,,0,0,N4079H,
61.609,-149.127,364c49cb,AC990B,306,1200,80,,C172,N9100H,1721791358,PAQ,,,,0,0,N9100H,
65.95,-148.877,364c1a85,A973C2,58,27000,240,,PC12,N708RE,1721791378,KSM,FYU,,,0,0,N708RE,VTS
64.821,-148.854,364c512d,,98,5425,98,,C172,,1721791326,,,,,0,0,C172,
65.618,-148.795,364c4d8d,A4FB48,54,10600,174,,PA31,N42WP,1721791386,FAI,FYU,4W100,4W,0,0,WAV2WP,
64.826,-148.079,364bf7ba,A4ED9F,112,3025,92,,C172,N4166L,1721791386,FAI,,,,0,-576,N4166L,
64.72,-147.913,364c5f11,AAEFBB,204,2100,90,,C172,N80322,1721791378,FAI,,,,0,0,N80322,
64.717,-147.867,364c4914,A9D725,337,2400,90,,C172,N733KV,1721791370,FAI,,,,0,0,N733KV,
62.041,-145.175,364c5311,A019C3,312,2775,79,,PA18,N1051A,1721791384,,,,,0,-64,N1051A,
65.045,-137.99,364c3ced,C07CD0,207,18500,214,,AT43,C-GVGX,1721791386,YEV,YDA,4N364,4N,0,0,ANT364,ANT
62.483,-135.92,364c4cfd,C04072,350,16100,272,,B350,C-FYKN,1721791382,YXY,,AKN36,AK,0,0,AKN036,AKN
62.4,-123.203,364b94a5,AA5F7C,279,40000,481,,B744,N768CK,1721791382,JFK,ANC,K4926,K4,0,0,CKS926,CKS
67.857,-120.903,364c17ec,3C7A47,66,36975,491,,A339,D-ANRG,1721791382,ANC,FRA,DE2051,DE,0,0,CFG2051,CFG
64.524,-119.474,364bb676,7804C7,310,32000,427,,B77L,B-2072,1721791387,ORD,PVG,CZ436,CZ,0,0,CSN436,CSN
62.784,-113.925,364b8890,C00C54,196,11200,310,,RJ85,C-FERJ,1721791387,YZF,,SUT8693,SU,0,-1280,SUT8693,SUT
63.883,-98.957,364bcfba,06A128,51,35004,520,,A35K,A7-ANL,1721791386,SFO,DOH,QR738,QR,0,0,QTR47H,QTR
61.328,-98.225,364c0667,484369,69,35000,510,,B772,PH-BQB,1721791388,YVR,AMS,KL682,KL,0,0,KLM226,KLM
63.327,-96.733,364b7794,AA9321,53,37000,508,,B772,N78017,1721791387,SFO,FCO,UA507,UA,0,0,UAL507,UAL
66.243,-94.906,364be545,4B1901,66,35000,322,,A343,HB-JMF,1721791390,YVR,ZRH,WK11,WK,0,0,EDW11K,EDW
65.654,-93.93,364bf1e8,3C7A41,60,37000,524,,A339,D-ANRA,1721791386,SEA,FRA,DE2033,DE,0,0,CFG2033,CFG
63.064,-93.361,364c0f36,C06022,63,37000,516,,B789,C-GKKN,1721791387,YYC,BCN,WS8,WS,0,-64,WJA8,WJA
62.595,-91.986,364c51c9,C06078,37,5375,248,,BE20,C-GKNV,1721791387,,,,,0,-1344,N,KEW
61.856,-90.445,364bb7d6,AACC5B,55,35000,495,,B772,N795UA,1721791387,SFO,LHR,UA948,UA,0,0,UAL948,UAL
64.512,-88.357,364c07a7,C07B42,69,36975,539,,B789,C-GURP,1721791387,YYC,FCO,WS32,WS,0,-64,WJA32,WJA
66.847,-87.247,364be5c9,3C4AD7,73,36000,536,,B744,D-ABVW,1721791386,YVR,FRA,LH493,LH,0,0,DLH493,DLH
66.515,-86.295,364ba4a9,47B121,77,39000,500,,B789,LN-FND,1721791386,LAX,OSL,N012,N0,0,0,NBT01U,NBT
67.235,-82.331,364baca0,3C4B23,72,33000,564,,B748,D-ABYC,1721791382,SFO,FRA,LH455,LH,0,0,DLH455,DLH
65.71,-76.44,364bd686,407371,80,36975,533,,B789,G-VNYL,1721791388,SEA,LHR,VS106,VS,0,0,VIR106F,VIR
62.644,-64.722,364ba5ad,AB4FD4,99,37000,497,,A333,N828NW,1721791387,PDX,AMS,DL178,DL,0,0,DAL178,DAL
67.934,-62.506,364bb350,4CC541,84,36025,502,,B752,TF-LLW,1721791382,SEA,KEF,FI680,FI,0,0,ICE680,ICE
68.078,-55.879,364bbca7,4B18FF,89,36175,503,,A343,HB-JMD,1721791388,YYC,ZRH,WK15,WK,0,640,EDW15J,EDW
64.982,-51.679,364b7261,7804C6,35,31000,479,,B77L,B-2071,1721791389,JFK,CAN,CSG2546,CS,0,0,CSG2546,CSG
66.045,-51.649,364ba2ef,4006C2,93,39000,505,,B772,G-VIIP,1721791389,YVR,LGW,BA2278,BA,0,0,BAW2278,BAW
68.026,-50.962,364ba381,4CC549,93,35000,478,,B38M,TF-ICS,1721791387,YVR,KEF,FI696,FI,0,0,ICE50G,ICE
65.91,-48.686,364bc1a7,484445,100,37000,484,,A332,PH-AOF,1721791388,YEG,AMS,KL676,KL,0,0,KLM676,KLM
62.532,-45.661,364ba0f6,C06A82,77,32975,447,,A21N,C-GOIR,1721791386,YYZ,LGW,TS282,TS,0,0,TSC282,TSC
62.77,-43.13,364bcaa5,C06A88,79,34975,456,,A21N,C-GOIX,1721791388,YYZ,GLA,TS244,TS,0,0,TSC244,TSC
