latitude,longitude,id,icao24bit,heading,altitude,groundSpeed,squawk,aircraftCode,registration,time,originAirportIata,destinationAirportIata,number,airlineIata,onGround,verticalSpeed,callsign,airlineIcao
86.896,-66.482,3825fada,89647E,248,36004,473,,A388,A6-EUT,1732802641,DXB,LAX,EK215,EK,0,0,UAE83M,UAE
87.235,-32.86,38260753,89655E,285,36000,474,,A388,A6-EVR,1732802644,DXB,SFO,EK225,EK,0,0,UAE51N,UAE
80.21,-75.943,3825f97e,06A11E,227,36000,483,,A35K,A7-ANB,1732802653,DOH,LAX,QR739,QR,0,0,QTR8J,QTR
81.149,-68.279,3825fc3e,06A0F4,241,37996,476,,A35K,A7-ANT,1732802653,DOH,SFO,QR737,QR,0,0,QTR34X,QTR
82.08,-43.71,38260850,06A2B4,279,34000,464,,B77W,A7-BEP,1732802650,DOH,SEA,QR719,QR,0,0,QTR58V,QTR
80.67,-44.725,3825fa6b,484368,127,36804,492,,B772,PH-BQA,1732802653,NRT,AMS,KL862,KL,0,0,KLM862,KLM
76.826,-25.029,3825e624,4851AE,143,37000,506,,B789,PH-BHC,1732802653,KIX,AMS,KL868,KL,0,64,KLM868,KLM
78.822,1.263,38261714,89647D,310,35975,467,,A388,A6-EUS,1732802638,DXB,IAH,EK211,EK,0,0,UAE1Y,UAE
78.239,15.595,3826ee24,47BB0A,105,2950,139,,A20N,LN-RGL,1732802655,LYR,TOS,SK4425,SK,0,3904,SAS78T,SAS
81.797,27.673,38261d8d,89649F,335,34000,463,,B77W,A6-EQG,1732802653,DXB,SEA,EK229,EK,0,0,UAE229,UAE
82.551,93.793,38261d20,780ABD,75,37004,514,,A359,B-LRR,1732802658,JFK,HKG,CX843,CX,0,0,CPA843,CPA
79.592,99.071,38261bed,7583EB,92,33004,513,,B77W,RP-C7778,1732802655,YYZ,MNL,PR119,PR,0,0,PAL119,PAL
69.965,-61.665,38266659,4D0110,85,32975,546,,B744,LX-RCV,1732802663,SEA,LUX,CV6294,CV,0,0,CLX26M,CLX
71.809,-40.802,3825fe63,06A123,232,36004,446,,A35K,A7-ANG,1732802660,DOH,DFW,QR729,QR,0,0,QTR52Q,QTR
72.456,-37.095,3826068f,06A122,244,36988,441,,A35K,A7-ANF,1732802660,DOH,IAH,QR713,QR,0,0,QTR27K,QTR
69.35,-24.483,38268ec6,461F53,262,38000,441,,A359,OH-LWL,1732802664,HEL,DFW,AY19,AY,0,-64,FIN19,FIN
74.127,-20.241,3825e225,3C4B29,152,35000,518,,B748,D-ABYI,1732802663,HND,FRA,LH717,LH,0,-128,DLH717,DLH
69.108,-17.434,3825d677,4B191A,134,35000,519,,B77W,HB-JNE,1732802664,NRT,ZRH,LX161,LX,0,0,SWR161,SWR
71.37,-15.256,3826780c,3C64F8,320,34000,404,,A343,D-AIGX,1732802660,FRA,YVR,LH492,LH,0,0,DLH492,DLH
74.255,-7.542,38261198,8964A5,271,34000,452,,B77W,A6-EQM,1732802660,DXB,ORD,EK235,EK,0,0,UAE3U,UAE
68.597,16.177,3826c4de,4787B3,21,10975,281,,B738,LN-NGD,1732802663,OSL,EVE,DY362,DY,0,-1088,NOZ2BE,NOZ
69.386,17.981,3826c4c5,4ACB44,26,16200,385,,A20N,SE-RZD,1732802665,OSL,TOS,SK4418,SK,0,-2304,SAS54T,SAS
71.346,18.385,38268abb,48C5ED,176,22000,193,,AT75,SP-SPN,1732802665,LYR,TOS,P8297,P8,0,64,SRN297,SRN
69.954,18.834,3826a45c,471F78,64,5950,284,,A321,HA-LXW,1732802662,GDN,TOS,W61771,W6,0,-576,WZZ6977,WZZ
69.637,18.889,3826f32e,479D6C,188,2550,113,,DH8A,LN-FVB,1732802663,TOS,HFT,WF914,WF,0,1536,WIF1SL,WIF
69.702,18.908,3826d1b6,479C74,99,1000,83,,S92,LN-OQX,1732802663,TOS,,,,0,-768,RESQ07,HMB
69.686,18.914,3826e9ad,478E3F,253,0,0,,C68A,LN-EUJ,1732802662,TOS,BOO,,,1,0,BNO41S,INR
70.354,22.53,3826deff,478089,244,20000,186,,DH8A,LN-WIA,1732802665,MEH,HVG,WF909,WF,0,0,WIF909,WIF
70.262,23.542,3826f0a8,478099,6,9000,219,,DH8A,LN-WIR,1732802664,ALF,HFT,WF912,WF,0,64,WIF3SG,WIF
61.832,-173.815,38261cf4,780D2B,229,34000,440,,B748,B-2480,1732802669,JFK,PEK,CA982,CA,0,0,CCA982,CCA
62.772,-154.977,38265541,781D8D,302,38000,414,,B77L,B-221W,1732802668,LAX,PVG,CK224,CK,0,0,CKK224,CKK
61.302,-150.096,3826ef80,,16,5975,156,,BE20,,1732802669,,,,,0,1472,BE20,
64.828,-147.845,3826eca2,A7F9F4,36,0,0,,B737,N613AS,1732802670,FAI,ANC,AS1072,AS,1,0,ASA1072,ASA
61.278,-144.213,382614a6,A8397C,256,36025,477,,B748,N629UP,1732802668,SDF,ANC,5X62,5X,0,-64,UPS62,UPS
63.654,-134.555,3826d04b,C023A9,5,23950,236,,BE20,C-FNNC,1732802672,YXY,,TA420,TA,0,0,TA420,NCB
63.103,-133.876,38264e1b,780A6E,271,34000,480,,B748,B-LJK,1732802672,ATL,ANC,CX93,CX,0,0,CPA093,CPA
68.059,-133.697,382653ab,71C517,270,34000,487,,B789,HL8517,1732802668,EWR,ICN,YP132,YP,0,0,APZ132,APZ
62.017,-131.88,3826635b,A82332,273,37996,475,,B748,N623UP,1732802669,SDF,ANC,5X64,5X,0,0,UPS64,UPS
61.773,-127.582,38262d22,AA8499,277,34000,449,,B77L,N777SA,1732802669,CVG,ANC,5Y947,5Y,0,0,PAC947,DHK
62.398,-126.342,3826646a,A3C2D5,275,36025,449,,B763,N341UP,1732802669,SDF,ANC,5X104,5X,0,0,UPS104,UPS
61.997,-124.308,38265a99,A95CA4,278,40000,455,,B77L,N702GT,1732802669,JFK,ANC,5Y8608,5Y,0,0,GTI8608,GTI
63.479,-113.696,38267907,A75F15,309,34000,488,,B744,N574UP,1732802672,SDF,NRT,5X108,5X,0,0,UPS108,UPS
62.467,-114.417,3826e247,C068BA,239,0,0,,B732,C-GNRD,1732802668,YZF,,N5131,N5,1,0,NRL131,NRL
61.663,-72.405,3826d544,C01C06,217,25950,256,,PC12,C-FKPX,1732802670,YFB,,PNO704,PN,0,0,PNO704,PNO
61.685,-72.267,3826e8cd,C05C24,120,4150,163,,DH8C,C-GIXF,1732802670,YZG,YWB,3H825,3H,0,-768,AIE825,AIE
65.599,-70.855,3826e21f,C0330D,332,22000,220,,AT45,C-FTIQ,1732802669,YFB,YAB,5T880,5T,0,0,AKT880,AKT
65.773,-66.31,3826dea6,C016D2,28,19000,274,,AT43,C-FIQR,1732802369,YFB,YXP,5T823,5T,0,0,AKT823,AKT
64.503,-51.448,38268873,4CC331,199,6650,160,,DH8B,TF-FXK,1732802670,KEF,GOH,FI115,FI,0,-704,ICE115,ICE
66.917,-53.675,3826e681,459E52,299,1175,175,,DH8B,OY-GRR,1732802671,SFJ,,GL1226,GL,0,-128,GRL1226,GRL
66.175,-52.973,3826e211,459E48,341,23000,258,,DH8B,OY-GRH,1732802647,GOH,JHS,GL256,GL,0,0,GRL256,GRL
65.267,-52.057,382666bd,A4B827,286,36000,451,,A339,N403DX,1732802670,AMS,SEA,DL143,DL,0,0,DAL143,DAL
67.795,-51.288,3826d73e,459E4F,3,24975,278,,DH8B,OY-GRO,1732802672,GOH,,GL1590,GL,0,0,GRL1590,GRL
66.118,-51.133,3826d875,459E47,185,24000,251,,DH8B,OY-GRG,1732802670,JAV,GOH,GL593,GL,0,-64,GRL593,GRL
62.885,-50.73,3826b188,A670DE,250,43025,407,,CL35,N514FX,1732802670,RKV,PWK,LXJ514,LX,0,-64,LXJ514,LXJ
63.384,-46.972,38262747,ABAC50,255,38000,441,,A332,N851NW,1732802669,LHR,MSP,DL11,DL,0,0,DAL11,DAL
68.012,-50.386,382677b0,,274,43000,452,,GLF6,,1732802672,,,,,0,-64,GLF6,
64.007,-49.787,3826b793,49D287,265,40000,420,,B738,OK-TVV,1732802671,KEF,YYZ,,,0,0,TVS177P,TVS
65.097,-37.031,38267940,459D6E,266,38000,427,,A338,OY-GKN,1732802672,CPH,GOH,GL781,GL,0,0,GRL781,GRL
65.489,-38.814,3826aae4,45CD16,82,19475,323,,BE20,OY-SHV,1732802671,GOH,,GL5359,GL,0,-1920,GRL5359,GRL
63.234,-35.475,38267d6b,3A4DC0,293,36000,460,,B789,F-OTOA,1732802672,CDG,SEA,TN57,TN,0,0,THT57,THT
63.371,-28.036,3826ccbe,4CC577,78,39000,497,,B38M,TF-ICH,1732802671,UAK,KEF,FI1018,FI,0,-64,ICE1018,ICE
63.831,-25.272,3826e943,43EA45,253,40375,340,,LJ40,M-DMBP,1732802671,KEF,YYR,,,0,448,MDMBP,
67.612,-25.249,38261ee7,48AE21,104,39000,535,,B789,SP-LSB,1732802671,LAX,WAW,LO24,LO,0,0,LOT24,LOT
66.948,-24.586,3825fded,896454,249,34000,424,,B77W,A6-EQE,1732802673,DXB,BOS,EK237,EK,0,0,UAE62Y,UAE
66.986,-24.329,38262c3a,89618C,249,37000,418,,A388,A6-EEM,1732802671,DXB,JFK,EK201,EK,0,0,UAE69R,UAE
63.767,-22.606,38268b3a,4CC552,358,2775,194,,A20N,TF-PPA,1732802672,CPH,KEF,OG901,OG,0,-192,FPY7G,FPY
63.867,-22.606,3826675b,4CC569,359,1925,130,,A20N,TF-PPE,1732802672,CDG,KEF,OG401,OG,0,-512,FPY5E,FPY
63.978,-22.605,3826a480,407E9F,1,0,56,,E170,G-CMLI,1732802672,MME,KEF,T39501,T3,1,0,EZE9501,EZE
63.581,-22.522,3826a0a2,4CC27C,350,2775,165,,B752,TF-ISR,1732802672,DUB,KEF,FI417,FI,0,0,ICE417,ICE
63.903,-22.354,3826edae,,51,2100,0,,EC30,,1732802640,,,,,0,0,EC30,
64.046,-22.081,3826f29c,4CC27D,206,1200,129,,C206,TF-MYY,1732802672,RKV,,,,0,704,TFMYY,MYA
63.821,-21.961,382682e2,4CC553,236,7050,232,,A20N,TF-PPB,1732802672,BER,KEF,OG701,OG,0,-1344,FPY85L,FPY
64.13,-21.938,3826dd8e,4CC539,354,0,36,,BE20,TF-MYB,1732802672,AEY,RKV,,,1,0,MYA77,MYA
62.33,-19.134,3826bdc1,4CC277,317,40000,401,,B752,TF-FIK,1732802672,GLA,KEF,FI431,FI,0,0,ICE431,ICE
62.852,-18.507,382696b2,4CC561,299,38000,394,,A20N,TF-PPC,1732802671,AMS,KEF,OG461,OG,0,0,FPY31H,FPY
62.35,-17.782,38260c2e,405BFD,123,39000,498,,B772,G-YMMT,1732802672,LAX,LHR,BA280,BA,0,0,BAW28F,BAW
64.135,-16.515,3826e0dd,4CC4B8,93,11300,262,,BE20,TF-MYA,1732802672,RKV,HFN,,,0,-960,MYA740,MYA
63.003,-10.03,3826d58d,45C86B,103,39000,506,,A20N,OY-RCK,1732802672,KEF,AAL,RC7667,RC,0,0,FLI7667,FLI
61.907,-8.592,3826bb65,4CC52E,278,36000,361,,B39M,TF-ICB,1732802672,OSL,KEF,FI319,FI,0,0,ICE319,ICE
62.995,-7.177,3826ae63,4CC57A,285,39000,357,,B38M,TF-ICV,1732802673,ARN,KEF,FI307,FI,0,0,ICE307,ICE
61.339,-4.81,3826b904,4A91AF,274,34000,364,,A21N,SE-DMO,1732802675,CPH,BOS,SK927,SK,0,0,SAS927,SAS
61.524,-4.26,3826b71d,4CC518,282,36000,352,,B753,TF-ISX,1732802673,CPH,KEF,FI205,FI,0,0,ICE205,ICE
61.276,-3.211,3825b427,873334,159,38975,497,,B789,JA933A,1732802673,HND,FRA,NH223,NH,0,64,ANA223,ANA
61.461,-1.926,3826bdde,4AC8A8,282,32000,401,,A333,SE-REH,1732802673,ARN,MIA,SK957,SK,0,0,SAS957,SAS
63.087,-0.824,3826b175,4CC573,282,34000,364,,B38M,TF-ICF,1732802674,HEL,KEF,FI343,FI,0,0,ICE343,ICE
61.554,-0.677,3825b341,3C670E,152,40000,518,,A359,D-AIXN,1732802674,HND,MUC,LH715,LH,0,0,DLH715,DLH
61.585,5.029,3826e638,478129,90,0,1,,EH10,0275,1732802586,FRO,,,,1,-64,SAVER70,NOW
62.237,5.976,3826d99e,47B0AB,47,6650,116,,C177,LN-VOF,1732802674,MOL,,,,0,576,LNVOF,
62.133,6.047,3826f402,4784DD,139,2650,139,,DH8A,LN-WIT,1732802674,HOV,OSL,WF170,WF,0,1536,WIF170,WIF
62.187,6.099,3826d528,47C43A,253,650,79,,TL30,LN-YEW,1732802675,HOV,,,,0,-1216,LNYEW,
68.042,11.285,38262997,8965F5,294,35975,395,,B789,A6-BNG,1732802673,AUH,IAD,EY5,EY,0,0,ETD19G,ETD
61.744,7.287,3826e3ec,478E27,38,35675,420,,E290,LN-WEA,1732802674,BGO,TOS,WF626,WF,0,1280,WIF9LV,WIF
63.805,7.355,3826ba6e,478055,167,825,123,,S92,LN-OQO,1732802673,KSU,,HKS463,HK,0,0,HKS463,HMB
63.666,7.434,3826b377,479FA6,169,2775,138,,S92,LN-OQP,1732802672,KSU,,HKS465,HK,0,0,HKS465,HMB
63.113,7.832,3826c773,478571,68,0,16,,S92,LN-ONV,1732802674,KSU,KSU,HKS870,HK,1,0,HKS870,
62.537,8.612,3826e08b,47873F,38,25800,350,,B738,LN-DYM,1732802673,BGO,TRD,DY164,DY,0,-1984,NOZ164,NOZ
63.12,9.175,3826e365,47A3F3,92,5750,165,,DA42,LN-PFE,1732802673,KSU,TRD,,,0,0,PIP541E,PIP
63.521,9.716,3826d7f9,478126,270,1625,2,,EH10,0268,1732802673,OLA,,,,0,-128,SAVER40,NOW
62.28,9.952,3826e8a1,4CACA0,208,28725,472,,CRJ9,EI-FPR,1732802674,TRD,SVG,SK4467,SK,0,1088,SAS4467,SAS
63.322,10.271,3826d4aa,47A37B,249,250,25,,EC45,LN-OOT,1732802626,,,DOC72,DO,0,-256,DOC72,DOC
63.544,10.514,3826ccbb,4785C0,214,4400,202,,DH8D,LN-WDH,1732802673,EVE,TRD,WF1365,WF,0,-1280,WIF1365,WIF
62.473,10.821,3826ea2a,4AC9EA,186,30000,418,,A20N,SE-ROJ,1732802674,TRD,OSL,SK361,SK,0,0,SAS361,SAS
63.458,10.893,3826f31d,4ACA6E,84,0,5,,E195,SE-RSN,1732802661,TRD,SVG,SK4483,SK,1,0,SAS53G,SAS
62.409,11.259,3826da61,47887E,1,19000,247,,BE20,LN-BSD,1732802674,OSL,,,,0,0,BNOR,INR
63.403,11.28,3826d968,47878C,197,7500,271,,B738,LN-DYY,1732802674,TRD,OSL,DY761,DY,0,4160,NOZ1KD,NOZ
62.854,11.367,3826c285,47A48C,201,40000,432,,C68A,LN-SAA,1732802674,TOS,OSL,,,0,-64,BNO92J,INR
63.336,11.381,3826d2a6,4CA292,231,38000,418,,A320,EI-DEL,1732802673,KTT,DUB,,,0,128,EIN4985,EIN
61.93,11.464,3826e423,47A31A,359,32825,399,,B738,LN-ENP,1732802673,OSL,TRD,DY756,DY,0,-1024,NOZ6DV,NOZ
62.299,11.603,3826d877,47877E,4,33000,241,,,,1732802675,OSL,,,,0,0,BNOG,
64.78,13.018,3826d03e,4ACB45,201,38025,447,,A20N,SE-RZE,1732802673,TOS,OSL,SK4417,SK,0,64,SAS4417,SAS
65.044,13.199,3826d000,4ACAAF,200,38000,441,,A20N,SE-RUO,1732802674,ALF,OSL,SK4545,SK,0,0,SAS4545,SAS
62.149,13.653,3826b2fa,4D2480,39,41000,461,,CL35,9H-VCU,1732802672,LTN,KTT,VJT473,VJ,0,-64,VJT473,VJT
66.267,13.772,382648c8,4ACA89,27,22175,403,,B38M,SE-RTI,1732802674,LPA,BOO,DY9090,DY,0,-2048,NOZ9090,NOZ
66.991,13.995,3826ef72,478090,192,8550,187,,DH8A,LN-WIH,1732802674,BOO,MQN,WF769,WF,0,768,WIF66D,WIF
67.2,14.155,3826f294,47809F,209,5950,144,,DH8C,LN-WFO,1732802673,BOO,SSJ,WF729,WF,0,1664,WIF729,WIF
67.489,14.314,3826f1f2,47873A,14,8600,205,,DH8A,LN-WIV,1732802673,BOO,SKN,WF850,WF,0,1536,WIF850,WIF
67.271,14.363,3826e8a0,4ACAB0,90,0,0,,A20N,SE-RUP,1732802675,BOO,OSL,SK4113,SK,1,0,SAS4113,SAS
67.8,14.66,3826e9fb,4780BA,19,17875,242,,DH8C,LN-WFS,1732802673,BOO,ANX,WF866,WF,0,960,WIF866,WIF
68.233,14.745,3826e990,47888D,212,4300,119,,BE20,LN-BSC,1732802673,BOO,,,,0,64,BNOB,INR
61.508,15.241,3826d35d,4AB556,324,15700,252,,B190,SE-MJV,1732802674,ARN,EVG,W2236,W2,0,-1344,JON36,
67.263,15.362,3826a7dc,47945C,22,37000,457,,B738,LN-NII,1732802674,BER,TOS,DY1125,DY,0,0,NOZ1125,NOZ
67.029,15.432,3826c2c2,440080,204,37975,412,,A320,OE-IVI,1732802672,TOS,CDG,U24654,U2,0,0,EJU72FU,EZY
62.281,15.708,3826e05d,4CADDA,331,23525,339,,A20N,EI-SIY,1732802673,ARN,OSD,SK2064,SK,0,-2112,SAS2064,SAS
61.277,17.705,3826bc12,484EE4,40,37000,441,,B738,PH-HSD,1732802675,AMS,RVN,KL1257,KL,0,0,KLM1257,KLM
62.606,19.077,3826d896,4CAD94,185,38000,467,,A20N,EI-SCD,1732802673,KRN,ARN,SK1045,SK,0,0,SAS68L,SAS
61.799,19.078,3826e62d,4CADD9,189,34000,472,,A20N,EI-SIV,1732802675,UME,ARN,SK2027,SK,0,0,SAS2027,SAS
63.325,19.394,382645d4,45AB53,36,31050,398,,B738,OY-JZS,1732802674,LPA,SFT,JP805,JP,0,-1920,JTD805,JTD
63.628,20.541,3826d7e5,4CACB6,22,3300,238,,A20N,EI-SIC,1732802672,ARN,UME,SK34,SK,0,-704,SAS034,SAS
65.335,21.139,3826b87f,406016,231,38025,425,,A320,G-EZTM,1732802673,RVN,MAN,U22284,U2,0,0,EZY97TN,EZY
64.589,21.361,3826d478,4CAD40,288,2350,176,,A20N,EI-SIM,1732802673,ARN,SFT,SK1016,SK,0,-960,SAS73T,SAS
62.74,25.281,3826e179,4601FD,180,24975,306,,AT75,OH-ATP,1732802676,OUL,HEL,AY440,AY,0,0,FIN440,FIN
65.31,25.489,3826ea72,461F65,181,23775,479,,A320,OH-LXD,1732802673,RVN,HEL,AY546,AY,0,1344,FIN546,FIN
