latitude,longitude,id,icao24bit,heading,altitude,groundSpeed,squawk,aircraftCode,registration,time,originAirportIata,destinationAirportIata,number,airlineIata,onGround,verticalSpeed,callsign,airlineIcao
75.982,-24.325,37b10111,86E430,148,38975,484,,B789,JA863J,1729819928,HND,LHR,JL41,JL,0,64,JAL41,JAL
79.348,-9.883,37b200c6,789215,51,34996,516,,A35K,B-LXC,1729819928,YYZ,HKG,CX825,CX,0,0,CPA825,CPA
80.362,12.206,37b1d432,78023D,83,33000,522,,B77W,B-KPQ,1729819927,JFK,HKG,CX831,CX,0,0,CPA831,CPA
70.517,-162.909,37b1cee4,781A4B,269,30000,455,,B77L,B-220F,1729819933,ORD,PVG,CK228,CK,0,0,CKK228,CKK
68.525,-152.08,37b2b808,AA1B94,318,10100,130,,C208,N750RV,1729819933,BRW,,,,0,0,N750RV,
70.338,-152.019,37b2ff90,AD81FC,301,1200,120,,C208,N97HA,1729819922,NUI,,,,0,0,N97HA,
70.972,-98.199,37b24a84,789231,338,33996,488,,A35K,B-LXK,1729819937,ORD,HKG,CX801,CX,0,0,CPA801,CPA
72.608,52.412,37b13194,80153B,126,35000,573,,B77L,VT-AEI,1729819939,SFO,DEL,AI174,AI,0,0,AIC174,AIC
68.842,89.034,37b299c5,151E2E,266,38000,439,,B737,RA-73262,1729819940,YKS,VKO,R3479,R3,0,0,SYL479,SYL
69.829,170.002,37b28eac,151E2C,100,37000,479,,B738,RA-73260,1729818159,YKS,PWE,R39735,R3,0,0,SYL9735,SYL
61.478,-174.761,37b1747d,86E474,231,39000,470,,B789,JA865J,1729819942,BOS,NRT,JL7,JL,0,0,JAL7,JAL
62.158,-172.945,37b13f8a,C0103A,232,37975,466,,B789,C-FGDT,1729819942,YUL,ICN,AC67,AC,0,-64,ACA067,ACA
62.563,-171.778,37b17733,840DF8,235,38000,474,,A35K,JA03WJ,1729819942,JFK,HND,JL5,JL,0,-64,JAL5,JAL
62.588,-171.702,37b17e72,71C011,233,34000,455,,B77W,HL8011,1729819942,IAD,ICN,KE94,KE,0,0,KAL094,KAL
63.956,-167.236,37b187a9,8694B6,237,32000,479,,B77W,JA790A,1729819935,JFK,HND,NH109,NH,0,0,ANA109,ANA
64.116,-166.65,37b1a447,C0173A,238,34000,478,,B77W,C-FIUR,1729819941,YUL,NRT,AC5,AC,0,0,ACA5,ACA
64.508,-165.429,37b2cd9d,A7F63D,289,0,123,,B737,N612AS,1729819941,ANC,OME,AS155,AS,0,-704,ASA155,ASA
61.487,-165.269,37b2d93b,AA0E2A,298,600,100,,C207,N747SQ,1729819906,BET,,,,0,0,N747SQ,
67.829,-164.994,37b2ff92,AA708F,134,5325,182,,C208,N772BA,1729819904,PHO,OTZ,8E663,8E,0,0,BRG663,BRG
64.549,-164.989,37b1b902,A60B1E,240,38000,483,,B744,N489MC,1729819942,ORD,ICN,5Y9181,5Y,0,-64,GTI9181,GTI
67.345,-163.843,37b2f905,A4CE2A,313,12350,194,,C408,N409BA,1729819944,OTZ,,8E1366,8E,0,0,BRG1366,BRG
67.288,-163.463,37b2fdc3,AC84CC,134,9350,175,,C208,N9055F,1729819944,KVL,,,,0,0,N9055F,
63.834,-163.089,37b2f844,A5137D,306,14275,244,,BE20,N426SD,1729819942,SMK,,,,0,0,N426SD,
61.33,-162.346,37b2f6fa,AD0AB7,335,1100,80,,C207,N9399M,1729819906,BET,,,,0,0,N9399M,
66.663,-162.265,37b2ebb7,A8FD41,322,2925,108,,C208,N679BA,1729819944,BKC,DRG,8E642,8E,0,0,BRG642,BRG
