latitude,longitude,id,icao24bit,heading,altitude,groundSpeed,squawk,aircraftCode,registration,time,originAirportIata,destinationAirportIata,number,airlineIata,onGround,verticalSpeed,callsign,airlineIcao
70.417,-150.917,3839a6c2,AAB845,146,1200,70,,DHC6,N790CP,1733331881,,,,,0,0,N790CP,
68.859,-148.6,38397af7,A7AC54,5,26650,462,,B738,N594AS,1733331888,ANC,SCC,AS9661,AS,0,-2368,ASA9661,ASA
70.197,-148.474,3839b6e1,A8103E,25,0,0,,B737,N619AS,1733331890,SCC,ANC,AS55,AS,1,0,ASA55,ASA
71.024,-114.244,3837fc39,896451,194,36004,492,,B77W,A6-EQB,1733331889,DXB,SEA,EK229,EK,0,0,UAE229,UAE
70.296,-99.044,383839b7,8964E2,177,36000,516,,A388,A6-EVK,1733331892,DXB,IAH,EK211,EK,0,0,UAE1Y,UAE
72.662,-98.197,383899a0,3C64F4,220,36000,471,,A343,D-AIGT,1733331889,FRA,SEA,LH490,LH,0,0,DLH490,DLH
74.931,-80.343,3838be2c,A1F1A0,232,35000,495,,B772,N224UA,1733331889,MUC,SFO,UA195,UA,0,0,UAL195,UAL
69.799,-75.617,383890d1,484370,260,36000,465,,B772,PH-BQI,1733331892,AMS,YYC,KL677,KL,0,0,KLM677,KLM
68.549,-69.407,3838d416,406B22,257,37992,454,,A388,G-XLEI,1733331892,LHR,SFO,BA285,BA,0,0,BAW5L,BAW
71.975,-62.635,3838da50,484411,267,38000,461,,A332,PH-AOC,1733331886,AMS,YVR,KL681,KL,0,0,KLM219,KLM
69.955,-62.089,3838cc8c,3C6703,265,40000,475,,A359,D-AIXC,1733331889,MUC,DEN,LH480,LH,0,0,DLH480,DLH
72.075,-58.795,3838ec27,4ACA64,261,38000,469,,A359,SE-RSD,1733331891,CPH,LAX,SK931,SK,0,0,SAS931,SAS
73.833,-58.286,383980c5,459E4B,148,24000,243,,DH8B,OY-GRK,1733331891,NAQ,JAV,GL627,GL,0,0,GRL627A,GRL
70.256,-53.851,3838d46b,3C6705,266,39000,466,,A359,D-AIXE,1733331893,MUC,SAN,LH466,LH,0,0,DLH5Y,DLH
70.375,-52.273,3839acad,459E47,159,18000,244,,DH8B,OY-GRG,1733331892,JQA,,GL3111,GL,0,0,GRL3111,GRL
74.049,-47.004,3838dcee,3C65A8,268,37000,463,,A388,D-AIMH,1733331891,MUC,LAX,LH452,LH,0,0,DLH452,DLH
73.921,-45.55,3838eca1,C2C36D,264,35975,465,,A332,330003,1733331889,RIX,YEG,CFC4478,CF,0,0,CFC4478,CFC
69.658,-38.538,38390ce4,C0173A,304,34996,482,,B77W,C-FIUR,1733331892,LHR,YVR,AC861,AC,0,0,ACA861,ACA
69.638,-37.716,3839173a,406E11,295,36000,480,,B789,G-VOWS,1733331889,LHR,SEA,VS105,VS,0,0,VIR105,VIR
69.515,-32.682,3838f864,3C7A42,284,39000,464,,A339,D-ANRB,1733331892,FRA,SJD,DE2124,DE,0,0,CFG2124,CFG
69.931,-29.54,3838ae13,4BA94D,293,33000,461,,B77W,TC-JJM,1733331894,IST,SFO,TK79,TK,0,0,THY79K,THY
71.569,-27.986,3838f863,3C5B32,297,38000,449,,A333,D-AFYR,1733331894,FRA,YYC,4Y76,4Y,0,0,OCN76,OCN
71.087,-26.737,3838e94a,A2659A,266,32000,471,,B77W,N2534U,1733331892,FRA,SFO,UA59,UA,0,0,UAL59,UAL
69.157,-21.204,3838c0fd,4BB143,289,32000,444,,B77W,TC-LJC,1733331894,IST,LAX,TK9,TK,0,0,THY9,THY
69.276,-8.923,38383868,4841AD,151,37000,468,,B772,PH-BQN,1733331892,NRT,AMS,KL862,KL,0,0,KLM862,KLM
68.433,16.653,3839a15f,479301,214,36475,411,,E290,LN-WEC,1733331895,TOS,BGO,WF627,WF,0,1280,WIF7LZ,WIF
68.492,16.683,3839b6ae,478891,92,0,0,,BE20,LN-BSA,1733331890,EVE,,,,1,0,BNOL,INR
69.679,18.91,3839b42c,4AC9F4,281,0,0,,A20N,SE-ROT,1733331883,TOS,CPH,SK4455,SK,1,0,SAS4455,SAS
69.802,20.547,3839aa9c,4780A1,78,15000,254,,DH8A,LN-ILS,1733331895,TOS,ALF,WF926,WF,0,0,WIF1SA,WIF
68.611,27.416,3839b48c,461F31,50,0,12,,A319,OH-LVD,1733331895,IVL,HEL,AY606,AY,1,0,FIN1KF,FIN
68.533,51.79,38387d9e,8004DA,329,34000,460,,B77L,VT-ALF,1733331893,DEL,YYZ,AI189,AI,0,0,AIC189,AIC
69.25,67.532,3839525a,151E3E,38,33000,591,,B77W,RA-73278,1733331897,SVO,UUS,SU6283,SU,0,0,SDM6283,SDM
64.516,-165.481,3839b743,ABE8F2,283,1025,96,,C208,N867BA,1733331901,OME,DRG,8E805,8E,0,960,BRG805,BRG
66.9,-162.741,38397bc4,A4C8D2,102,1525,164,,B734,N407YK,1733331900,ANC,OTZ,NC720,NC,0,-1088,NAC720,NAC
66.892,-162.605,3839b4dd,AC0F70,270,425,0,,C206,N8763Q,1733331899,OTZ,,,,0,0,N8763Q,
63.917,-160.84,3839b6cf,A5137D,305,2125,153,,BE20,N426SD,1733331901,,,,,0,2624,N426SD,
61.959,-152.297,3839a117,A8609F,304,29975,415,,E75L,N639QX,1733331901,ANC,OME,AS2002,AS,0,1088,QXE2002,ASA
67.094,-150.317,38395769,AACE8F,3,24000,340,,DH8D,N796CP,1733331900,ANC,NUI,,,0,0,CON131,CON
64.001,-151.185,383992ce,A784D5,346,36000,460,,B738,N584AS,1733331900,ANC,BRW,AS7015,AS,0,64,ASA7015,ASA
64.811,-150.913,3839a2c1,AA01B2,270,24000,250,,PC12,N744DA,1733331899,FAI,GAL,,,0,64,N744DA,VTS
64.792,-149.719,3839a77b,AA2E27,272,3575,164,,C208,N755RV,1733331897,FAI,,,,0,0,N755RV,
64.789,-149.403,38398e2b,A90AC0,271,5050,153,,C208,N682BB,1733331898,FAI,,,,0,0,N682BB,
64.813,-147.852,3839b5dc,AB4A09,126,0,15,,C208,N8264,1733331901,FAI,,,,1,0,N8264,WRF
64.828,-147.84,3839b144,A86E1D,185,0,13,,E75L,N642QX,1733331902,FAI,ANC,AS2412,AS,1,0,QXE2412,ASA
62.007,-139.528,383982f7,A61F05,119,33000,461,,B739,N494AS,1733331899,FAI,SEA,AS236,AS,0,192,ASA236,ASA
63.488,-135.761,38398f83,C03512,4,5100,196,,D228,C-FUCN,1733331901,YXY,,AKN109,AK,0,-896,AKN109,AKN
68.228,-134.346,3839a0a1,C03816,73,7200,249,,AT43,C-FVGF,1733331901,YOC,YEV,4N600,4N,0,-2752,ANT600,ANT
63.059,-132.145,383812d1,76CCE4,92,41025,519,,A359,9V-SGD,1733331901,SIN,JFK,SQ24,SQ,0,0,SIA24,SIA
61.963,-129.161,383894bb,86EB36,92,36988,538,,B789,JA882J,1733331900,NRT,BOS,JL8,JL,0,0,JAL8,JAL
66.831,-127.122,3839afb1,C05931,38,7600,248,,B190,C-GHUE,1733331903,,,HW125,HW,0,-256,NWL125,KBA
65.901,-123.957,3839892d,C07937,306,33975,403,,LJ35,C-GTXM,1733331903,YZF,,,,0,-64,BRUSR01,
64.322,-118.473,3838310f,06A2B7,196,36000,465,,B77W,A7-BES,1733331901,DOH,SEA,QR719,QR,0,0,QTR58V,QTR
61.866,-114.372,38397af1,C013D6,357,9700,292,,B737,C-FHNH,1733331900,YEG,YZF,5T118,5T,0,-448,AKT118,
62.455,-112.578,383970df,,271,4200,145,,DHC6,,1733331849,,,,,0,0,DHC6,
62.266,-111.372,383958dd,C02DE7,7,30000,381,,RJ1H,C-FRJY,1733331900,YYC,,SUT8251,SU,0,0,SUT8251,SUT
61.771,-110.318,3838ebb3,C00C54,192,31000,426,,RJ85,C-FERJ,1733331900,,,SUT8632,SU,0,-64,SUT8632,SUT
62.858,-101.591,38389613,A52736,211,38000,508,,A339,N431DX,1733331896,AMS,SEA,DL143,DL,0,0,DAL143,DAL
63.361,-107.741,3838663f,46DACE,218,47000,479,,GLF6,SX-VVN,1733331901,ATH,BFI,,,0,0,AEW6508,AEW
61.512,-102.1,383896dd,A4E35F,212,38000,510,,A339,N414DZ,1733331902,CDG,SEA,DL81,DL,0,0,DAL81,DAL
63.412,-101.45,38389c0f,39CF13,227,40000,496,,A359,F-HTYT,1733331900,CDG,YVR,AF374,AF,0,0,AFR374G,AFR
