latitude,longitude,id,icao24bit,heading,altitude,groundSpeed,squawk,aircraftCode,registration,time,originAirportIata,destinationAirportIata,number,airlineIata,onGround,verticalSpeed,callsign,airlineIcao
84.784,-137.188,3741cd55,896473,179,38000,461,,A388,A6-EUI,1727276676,DXB,SFO,EK225,EK,0,0,UAE51N,UAE
86.537,-92.744,3741dcb3,896455,199,34000,482,,B77W,A6-EQF,1727276684,DXB,SEA,EK229,EK,0,0,UAE229,UAE
79.116,-86.581,3741b79e,06A1BF,229,34000,452,,B77W,A7-BEI,1727276692,DOH,SEA,QR719,QR,0,0,QTR719,QTR
78.612,-79.115,3741c86f,06A12F,227,38004,454,,A35K,A7-ANS,1727276684,DOH,SFO,QR737,QR,0,0,QTR21R,QTR
70.195,-147.983,3742ea4a,A7E151,319,4175,179,,B737,N607AS,1727276697,ANC,SCC,AS55,AS,0,-1152,ASA55,ASA
69.511,-93.191,374228ae,3965AA,243,34000,486,,B77W,F-GZNK,1727276696,CDG,YVR,AF374,AF,0,0,AFR374G,AFR
69.2,-81.25,3742d18f,C0330D,310,21750,239,,AT45,C-FTIQ,1727276696,YFB,YGT,5T871,5T,0,0,AKT871,AKT
70.593,-78.767,37422d6c,3C6514,262,36000,469,,A346,D-AIHT,1727276690,FRA,SEA,LH490,LH,0,0,DLH490,DLH
70.928,-53.664,37419fa7,406F76,94,39000,500,,B789,G-ZBKJ,1727276703,HND,LHR,BA6,BA,0,-64,BAW6,BAW
73.225,-52.815,37425b55,3C7A48,267,37000,431,,A339,D-ANRH,1727276702,FRA,SEA,DE2034,DE,0,0,CFG2034,CFG
69.129,-51.385,37432b5a,459E4D,57,2625,236,,DH8B,OY-GRM,1727276702,JEG,JAV,GL534,GL,0,-1088,GRL534,GRL
69.241,-51.065,374333bb,459E4A,157,0,0,,DH8B,OY-GRJ,1727276688,JAV,,GL582,GL,1,0,GRL582,GRL
70.655,-47.099,37427557,484371,281,36000,459,,B772,PH-BQK,1727276701,AMS,YYC,KL677,KL,0,0,KLM677,KLM
69.189,-48.53,3741c821,89655F,250,38000,470,,A388,A6-EVS,1727276702,DXB,LAX,EK215,EK,0,0,UAE83M,UAE
72.889,-32.811,3742438c,,282,42996,484,,GLF6,,1727276704,,,,,0,0,GLF6,
