latitude,longitude,id,icao24bit,heading,altitude,groundSpeed,squawk,aircraftCode,registration,time,originAirportIata,destinationAirportIata,number,airlineIata,onGround,verticalSpeed,callsign,airlineIcao
83.868,-103.456,387ed314,896481,191,34000,468,,A388,A6-EUW,1735308299,DXB,LAX,EK215,EK,0,0,UAE83M,UAE
89.32,-30.222,387ed6c6,896475,282,36000,489,,A388,A6-EUK,1735308299,DXB,SFO,EK225,EK,0,0,UAE51N,UAE
82.385,-149.183,387f0f14,789203,280,38000,468,,A359,B-LRV,1735308307,JFK,HKG,CX843,CX,0,0,CPA843,CPA
81.541,-52.204,387ed8f6,06A0F4,249,36000,456,,A35K,A7-ANT,1735308312,DOH,SFO,QR737,QR,0,0,QTR34X,QTR
81.935,-45.982,387ede08,06A11E,252,37004,468,,A35K,A7-ANB,1735308312,DOH,LAX,QR739,QR,0,0,QTR8J,QTR
80.897,-36.077,387ec280,484368,99,35000,505,,B772,PH-BQA,1735308312,NRT,AMS,KL862,KL,0,0,KLM862,KLM
79.066,-33.217,387eb694,39D2A1,130,39000,495,,A359,F-HUVB,1735308312,KIX,CDG,AF291,AF,0,0,AFR291,AFR
82.119,-30.919,387ee574,06A2C4,269,34000,460,,B77W,A7-BEU,1735308310,DOH,SEA,QR719,QR,0,0,QTR58V,QTR
76.655,-21.588,387ebe88,3C4B24,149,35000,484,,B748,D-ABYD,1735308313,HND,FRA,LH717,LH,0,-64,DLH717,DLH
78.391,15.723,387fda5e,47A058,185,4750,125,,AS32,LN-OPL,1735308313,QAA,,,,0,-640,HKSSAR2,HMB
80.61,50.311,387eff53,75855B,82,37000,479,,A359,RP-C3508,1735308314,JFK,MNL,PR127,PR,0,0,PAL127,PAL
81.495,62.352,387efcde,896452,348,32000,492,,B77W,A6-EQC,1735308314,DXB,SEA,EK229,EK,0,0,UAE229,UAE
78.847,94.317,387ee159,789219,96,37000,478,,A35K,B-LXG,1735308312,BOS,HKG,CX811,CX,0,0,CPA811,CPA
71.181,-155.309,387fcbfc,ABC5AC,291,9300,253,,BE20,N858GF,1735308320,SCC,BRW,,,0,-1216,N858GF,
68.869,-64.246,387f4311,484369,262,34000,474,,B772,PH-BQB,1735308319,AMS,SFO,KL605,KL,0,0,KLM132,KLM
74.057,-60.218,387ec76a,346456,133,39000,493,,A359,EC-NJM,1735308321,NRT,MAD,IB282,IB,0,0,IBE0282,IBE
70.064,-53.573,387f451d,407898,271,36975,485,,B78X,G-ZBLA,1735308321,LHR,SEA,BA53,BA,0,-64,BAW5EA,BAW
69.063,-53.183,387f52a3,4851AD,271,36000,493,,B789,PH-BHA,1735308321,AMS,PDX,KL615,KL,0,-64,KLM615,KLM
72.256,-49.508,387f4b34,3C4B29,270,34000,492,,B748,D-ABYI,1735308323,FRA,SFO,LH454,LH,0,-64,DLH454,DLH
68.687,-48.076,387f5341,A5124C,294,36000,469,,A339,N426DZ,1735308324,AMS,SEA,DL143,DL,0,0,DAL143,DAL
71.195,-41.523,387f5ad9,39CF0F,298,39000,479,,A359,F-HTYP,1735308322,CDG,YVR,AF374,AF,0,0,AFR374G,AFR
69.267,-38.007,387f5e96,394A0B,289,33000,482,,B77W,F-GSQL,1735308322,CDG,SFO,AF84,AF,0,0,AFR84J,AFR
69.638,-35.557,387f1f40,4CADC7,285,36000,465,,A339,EI-HJO,1735308319,FCO,LAX,AZ620,AZ,0,0,ITY620,ITY
69.264,-33.843,387f5b35,3C64C6,279,33000,481,,A343,D-AIFF,1735308322,FRA,DFW,LH438,LH,0,0,DLH438,DLH
70.26,-29.311,387f5dbb,3C4B23,286,32000,497,,B748,D-ABYC,1735308319,FRA,LAX,LH456,LH,0,0,DLH456,DLH
71.93,-26.621,387f6bcf,461F5A,264,36008,464,,A359,OH-LWS,1735308319,HEL,DFW,AY19,AY,0,0,FIN19,FIN
